F0semitoneFrom27.5Hz_sma3nz_amean,F0semitoneFrom27.5Hz_sma3nz_stddevNorm,F0semitoneFrom27.5Hz_sma3nz_percentile20.0,F0semitoneFrom27.5Hz_sma3nz_percentile50.0,F0semitoneFrom27.5Hz_sma3nz_percentile80.0,F0semitoneFrom27.5Hz_sma3nz_pctlrange0-2,F0semitoneFrom27.5Hz_sma3nz_meanRisingSlope,F0semitoneFrom27.5Hz_sma3nz_stddevRisingSlope,F0semitoneFrom27.5Hz_sma3nz_meanFallingSlope,F0semitoneFrom27.5Hz_sma3nz_stddevFallingSlope,loudness_sma3_amean,loudness_sma3_stddevNorm,loudness_sma3_percentile20.0,loudness_sma3_percentile50.0,loudness_sma3_percentile80.0,loudness_sma3_pctlrange0-2,loudness_sma3_meanRisingSlope,loudness_sma3_stddevRisingSlope,loudness_sma3_meanFallingSlope,loudness_sma3_stddevFallingSlope,spectralFlux_sma3_amean,spectralFlux_sma3_stddevNorm,mfcc1_sma3_amean,mfcc1_sma3_stddevNorm,mfcc2_sma3_amean,mfcc2_sma3_stddevNorm,mfcc3_sma3_amean,mfcc3_sma3_stddevNorm,mfcc4_sma3_amean,mfcc4_sma3_stddevNorm,jitterLocal_sma3nz_amean,jitterLocal_sma3nz_stddevNorm,shimmerLocaldB_sma3nz_amean,shimmerLocaldB_sma3nz_stddevNorm,HNRdBACF_sma3nz_amean,HNRdBACF_sma3nz_stddevNorm,logRelF0-H1-H2_sma3nz_amean,logRelF0-H1-H2_sma3nz_stddevNorm,logRelF0-H1-A3_sma3nz_amean,logRelF0-H1-A3_sma3nz_stddevNorm,F1frequency_sma3nz_amean,F1frequency_sma3nz_stddevNorm,F1bandwidth_sma3nz_amean,F1bandwidth_sma3nz_stddevNorm,F1amplitudeLogRelF0_sma3nz_amean,F1amplitudeLogRelF0_sma3nz_stddevNorm,F2frequency_sma3nz_amean,F2frequency_sma3nz_stddevNorm,F2bandwidth_sma3nz_amean,F2bandwidth_sma3nz_stddevNorm,F2amplitudeLogRelF0_sma3nz_amean,F2amplitudeLogRelF0_sma3nz_stddevNorm,F3frequency_sma3nz_amean,F3frequency_sma3nz_stddevNorm,F3bandwidth_sma3nz_amean,F3bandwidth_sma3nz_stddevNorm,F3amplitudeLogRelF0_sma3nz_amean,F3amplitudeLogRelF0_sma3nz_stddevNorm,alphaRatioV_sma3nz_amean,alphaRatioV_sma3nz_stddevNorm,hammarbergIndexV_sma3nz_amean,hammarbergIndexV_sma3nz_stddevNorm,slopeV0-500_sma3nz_amean,slopeV0-500_sma3nz_stddevNorm,slopeV500-1500_sma3nz_amean,slopeV500-1500_sma3nz_stddevNorm,spectralFluxV_sma3nz_amean,spectralFluxV_sma3nz_stddevNorm,mfcc1V_sma3nz_amean,mfcc1V_sma3nz_stddevNorm,mfcc2V_sma3nz_amean,mfcc2V_sma3nz_stddevNorm,mfcc3V_sma3nz_amean,mfcc3V_sma3nz_stddevNorm,mfcc4V_sma3nz_amean,mfcc4V_sma3nz_stddevNorm,alphaRatioUV_sma3nz_amean,hammarbergIndexUV_sma3nz_amean,slopeUV0-500_sma3nz_amean,slopeUV500-1500_sma3nz_amean,spectralFluxUV_sma3nz_amean,loudnessPeaksPerSec,VoicedSegmentsPerSec,MeanVoicedSegmentLengthSec,StddevVoicedSegmentLengthSec,MeanUnvoicedSegmentLength,StddevUnvoicedSegmentLength,equivalentSoundLevel_dBp,filename
29.381775,0.001064934,29.358566,29.379251,29.40448,0.045913696,0.025506338,0.0,0.0,0.0,0.41952038,0.18956679,0.3403886,0.4117032,0.49039406,0.15000546,1.5031782,0.77461314,0.95257527,0.7557739,0.10924701,0.5559313,12.158434,0.36209264,-5.7266793,-0.6710363,-4.051607,-1.0961511,-14.775624,-0.4044261,0.1139308,0.0,3.8970723,0.0,2.2266996,0.10972755,-13.405088,-0.117430694,14.453986,0.050963532,986.5038,0.017598577,1358.2909,0.22556768,-200.39192,-0.046228234,2154.6726,0.054799967,1038.1317,0.18563372,-200.41798,-0.04425869,3135.1045,0.022153366,1722.6398,0.08285614,-200.4136,-0.044573016,-12.344049,-0.021095736,26.347916,0.021771744,0.10050404,0.042651236,-0.02067278,-0.11743442,0.41727275,0.12577954,21.590551,0.08026587,-2.758123,-0.5610136,-18.017765,-0.087905884,-37.27277,-0.03846117,-4.92271,13.063052,0.06141417,-0.007113807,0.10861937,3.1031032,0.100603625,0.02,0.0,4.9449997,1.645,-36.9149,../../../dataset/mimii/pump/id_00/abnormal/00000000.wav
32.716785,0.11569818,29.439016,29.45198,37.071175,7.6321583,1.0983745,0.0,0.0,0.0,0.43714562,0.15914175,0.38127112,0.42831326,0.49921817,0.11794704,1.4673707,0.7946727,1.149693,0.9727891,0.11537461,0.42472598,13.298956,0.2921784,-4.819141,-0.7314355,-3.2726324,-1.2756636,-14.856988,-0.3161166,0.029153336,0.0,2.2891922,0.54986125,3.505619,0.32556307,-9.573471,-0.9613893,18.51929,0.4232274,902.8153,0.17104265,1211.5076,0.031138165,-199.74947,-0.07063852,1961.7195,0.12618107,1200.0117,0.16269079,-199.63615,-0.07005852,2695.7751,0.025695788,920.05804,0.16240427,-199.64905,-0.06948108,-8.847224,-0.5182011,17.92978,0.32859552,0.06876321,0.33706608,-0.008741597,-1.6417719,0.12783603,0.3509566,14.962391,0.22700408,-1.7022194,-0.68405914,-3.4347296,-1.3320603,-17.478958,-0.635681,-5.9161625,13.510641,0.062586024,-0.009037947,0.115498,4.3043046,0.20120725,0.024999999,0.005,3.28,1.9706005,-36.591057,../../../dataset/mimii/pump/id_00/abnormal/00000001.wav
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.41940996,0.13983637,0.3675992,0.425869,0.4679759,0.100376725,1.5104184,1.0584105,1.2005137,0.80344933,0.103619866,0.367658,12.434537,0.3189666,-5.1693807,-0.73979926,-1.7385261,-2.6322548,-13.4011,-0.38751006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-201.0,0.0,0.0,0.0,0.0,0.0,-201.0,0.0,0.0,0.0,0.0,0.0,-201.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.1359854,12.492227,0.045223627,-0.0064742714,0.103756905,5.4054055,0.0,0.0,0.0,9.929999,0.0,-37.79948,../../../dataset/mimii/pump/id_00/abnormal/00000002.wav
36.694984,0.004858522,36.513042,36.68824,36.87234,0.3592987,48.431396,0.0,-2.9497147,4.5595474,0.42820287,0.16784863,0.36260998,0.42342958,0.485571,0.122961015,1.4436995,0.77261597,1.1212913,0.7221982,0.10813002,0.46166992,11.751844,0.39015985,-6.6871514,-0.5747976,-2.5824683,-1.8337055,-13.360531,-0.46444356,0.025511213,0.20512284,1.6498339,0.33508036,3.2750256,0.1397986,9.12987,0.19830032,30.463722,0.10733091,831.78754,0.13201903,1328.136,0.10866773,-199.57285,-0.07366708,1755.7911,0.06707197,1182.0502,0.06960312,-199.65694,-0.06909517,2682.4739,0.03706392,849.60144,0.10206282,-199.67688,-0.06802572,-13.422054,-0.10942128,23.32417,0.12731706,0.08012709,0.059523907,-0.023537388,-0.15634342,0.26977834,0.13008372,20.749273,0.10013731,-4.35323,-0.8717154,-9.278429,-0.083809584,-25.71052,-0.1266334,-4.3982844,11.413615,0.04994916,-0.0049750726,0.107162975,3.903904,0.20120725,0.024999999,0.005,3.28,2.2511034,-37.203175,../../../dataset/mimii/pump/id_00/abnormal/00000003.wav
38.93889,0.24198915,29.530046,38.932247,48.35556,18.825514,628.8287,0.0,-3.6354065,0.0,0.443472,0.14531118,0.38689196,0.44944525,0.4979045,0.11101255,1.6024653,0.9431847,1.037865,0.589059,0.11671461,0.38224703,12.940751,0.31011415,-5.481864,-0.6298123,-2.5358324,-1.6734118,-15.041079,-0.35161373,0.06407977,0.33895493,1.5818645,0.14082646,2.6579375,0.09057829,-4.4825363,-2.4728673,13.754576,0.20494066,1006.6611,0.06802912,1116.8466,0.08962633,-199.80681,-0.06432669,2071.269,0.09162226,993.90814,0.08683559,-199.86989,-0.060926188,3004.1643,0.058335174,1006.2989,0.41228575,-199.88396,-0.060194746,-10.986286,-0.2942282,22.751488,0.19792631,0.07996144,0.04149872,-0.012702722,-0.6338833,0.1869805,0.34236732,19.554388,0.22395447,-3.237985,-1.0860395,-7.6451826,-0.17088209,-20.308271,-0.29776648,-5.4709506,13.165586,0.050006524,-0.007971277,0.116471656,5.5055056,0.20120725,0.02,0.0,3.2833333,1.8802365,-36.77727,../../../dataset/mimii/pump/id_00/abnormal/00000004.wav
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42328972,0.15903324,0.35550585,0.4208854,0.48108506,0.12557921,1.6896358,1.0210375,0.9970482,0.6467062,0.10461182,0.40945598,11.495045,0.36033544,-4.7010965,-0.8276413,-2.9994504,-1.5739212,-13.939841,-0.36257064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-201.0,0.0,0.0,0.0,0.0,0.0,-201.0,0.0,0.0,0.0,0.0,0.0,-201.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.929827,12.408513,0.059712045,-0.006396744,0.10487701,4.3043046,0.0,0.0,0.0,9.929999,0.0,-37.654922,../../../dataset/mimii/pump/id_00/abnormal/00000005.wav
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.43636942,0.16639714,0.36557665,0.43429255,0.49962986,0.1340532,1.5746043,0.85426086,1.2336843,0.58380556,0.10985186,0.46078795,11.319506,0.39554378,-6.5505238,-0.5086566,-4.7745705,-0.8868006,-14.785436,-0.36469966,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-201.0,0.0,0.0,0.0,0.0,0.0,-201.0,0.0,0.0,0.0,0.0,0.0,-201.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.144449,12.254864,0.060508978,-0.0068778032,0.10997325,5.3053055,0.0,0.0,0.0,9.929999,0.0,-37.085163,../../../dataset/mimii/pump/id_00/abnormal/00000006.wav
42.634697,0.13536166,36.857834,42.6572,48.399876,11.542042,1.9417471,0.0,0.0,0.0,0.4478433,0.1848701,0.3662364,0.44913307,0.5173477,0.1511113,1.6802654,0.9733557,1.214635,0.7482366,0.12090843,0.5131731,11.520173,0.38326147,-5.2622333,-0.63476294,-3.5804117,-1.3607959,-15.359281,-0.40437862,0.051265024,0.6687432,1.8476778,0.26911828,3.8876588,0.3204398,14.454104,0.37589788,23.081087,0.2661776,1026.7805,0.06362177,1266.7032,0.036388278,-199.85583,-0.061564807,2039.8345,0.04924353,1110.528,0.11620822,-199.90903,-0.058733225,3000.9617,0.035974357,817.4742,0.109454386,-199.92734,-0.057738364,-11.479112,-0.14094354,21.475815,0.16697724,0.07574092,0.058794852,-0.024238214,-0.1669025,0.2493002,0.1840203,17.373447,0.04751149,-3.2488344,-0.73647976,-10.902604,-0.40905893,-25.295837,-0.10609246,-5.2223787,12.868067,0.056887656,-0.008057898,0.120375566,5.2052054,0.20120725,0.02,0.0,3.2833333,2.528904,-36.165607,../../../dataset/mimii/pump/id_00/abnormal/00000007.wav
36.5827,0.0033481144,36.478912,36.589787,36.693817,0.21490479,0.0,0.0,-0.031652275,0.0,0.43086752,0.18048993,0.36038744,0.41538182,0.50020725,0.1398198,1.6323652,0.7895721,1.2802659,0.7526178,0.11211795,0.5183543,11.5790615,0.40271634,-5.105684,-0.6895391,-3.7046192,-1.135602,-14.440336,-0.3759047,0.03744375,0.24149594,1.7741147,0.1928244,4.399542,0.21946007,10.930074,0.2158721,31.767294,0.039324198,973.9002,0.03215319,1215.3956,0.06035281,-198.83112,-0.09409514,2006.3522,0.03481831,1182.7848,0.17073357,-198.90724,-0.090792164,2892.6338,0.018430343,854.07806,0.09871355,-198.94066,-0.089426145,-14.787952,-0.045433406,26.29242,0.028054746,0.09059224,0.087911785,-0.018380541,-0.087045275,0.2919713,0.17195703,21.762135,0.05918783,-0.052691776,-35.30101,-8.44649,-0.14563394,-24.799652,-0.06500822,-4.9073024,12.483623,0.05792758,-0.00638343,0.11045668,5.4054055,0.20120725,0.044999998,0.005,3.2666664,3.7156637,-36.59319,../../../dataset/mimii/pump/id_00/abnormal/00000008.wav
38.204857,0.21490005,29.35884,36.352657,48.434753,19.075912,235.03558,0.0,272.94992,0.0,0.43536428,0.20821814,0.34006017,0.4338489,0.5165678,0.17650765,1.895403,1.214651,1.0679266,0.6359036,0.11677754,0.53162086,11.892437,0.38195628,-4.4310303,-0.94209987,-2.8258073,-1.7260826,-13.817441,-0.45193467,0.073995255,0.0898389,2.582917,0.1542253,3.014069,0.5159827,3.1040547,3.0710247,16.832346,0.38133243,722.47455,0.35990024,1342.0107,0.14768276,-199.65572,-0.06916045,1701.084,0.16917987,1195.2521,0.08574352,-198.94408,-0.0848899,2623.5354,0.08419852,971.2131,0.10286818,-198.96518,-0.084073894,-9.255808,-0.24194834,17.99352,0.1874756,0.07424928,0.29707795,-0.015362993,-0.33662805,0.1783078,0.24325761,16.483137,0.15879291,-3.0686755,-1.1247963,-4.929335,-0.38654557,-18.615454,-0.26781222,-5.269459,12.874058,0.05915883,-0.006724333,0.11635377,4.6046047,0.3018109,0.026666667,0.0047140447,2.4475,0.81102943,-36.30898,../../../dataset/mimii/pump/id_00/abnormal/00000009.wav
