F0semitoneFrom27.5Hz_sma3nz_amean,F0semitoneFrom27.5Hz_sma3nz_stddevNorm,F0semitoneFrom27.5Hz_sma3nz_percentile20.0,F0semitoneFrom27.5Hz_sma3nz_percentile50.0,F0semitoneFrom27.5Hz_sma3nz_percentile80.0,F0semitoneFrom27.5Hz_sma3nz_pctlrange0-2,F0semitoneFrom27.5Hz_sma3nz_meanRisingSlope,F0semitoneFrom27.5Hz_sma3nz_stddevRisingSlope,F0semitoneFrom27.5Hz_sma3nz_meanFallingSlope,F0semitoneFrom27.5Hz_sma3nz_stddevFallingSlope,loudness_sma3_amean,loudness_sma3_stddevNorm,loudness_sma3_percentile20.0,loudness_sma3_percentile50.0,loudness_sma3_percentile80.0,loudness_sma3_pctlrange0-2,loudness_sma3_meanRisingSlope,loudness_sma3_stddevRisingSlope,loudness_sma3_meanFallingSlope,loudness_sma3_stddevFallingSlope,spectralFlux_sma3_amean,spectralFlux_sma3_stddevNorm,mfcc1_sma3_amean,mfcc1_sma3_stddevNorm,mfcc2_sma3_amean,mfcc2_sma3_stddevNorm,mfcc3_sma3_amean,mfcc3_sma3_stddevNorm,mfcc4_sma3_amean,mfcc4_sma3_stddevNorm,jitterLocal_sma3nz_amean,jitterLocal_sma3nz_stddevNorm,shimmerLocaldB_sma3nz_amean,shimmerLocaldB_sma3nz_stddevNorm,HNRdBACF_sma3nz_amean,HNRdBACF_sma3nz_stddevNorm,logRelF0-H1-H2_sma3nz_amean,logRelF0-H1-H2_sma3nz_stddevNorm,logRelF0-H1-A3_sma3nz_amean,logRelF0-H1-A3_sma3nz_stddevNorm,F1frequency_sma3nz_amean,F1frequency_sma3nz_stddevNorm,F1bandwidth_sma3nz_amean,F1bandwidth_sma3nz_stddevNorm,F1amplitudeLogRelF0_sma3nz_amean,F1amplitudeLogRelF0_sma3nz_stddevNorm,F2frequency_sma3nz_amean,F2frequency_sma3nz_stddevNorm,F2bandwidth_sma3nz_amean,F2bandwidth_sma3nz_stddevNorm,F2amplitudeLogRelF0_sma3nz_amean,F2amplitudeLogRelF0_sma3nz_stddevNorm,F3frequency_sma3nz_amean,F3frequency_sma3nz_stddevNorm,F3bandwidth_sma3nz_amean,F3bandwidth_sma3nz_stddevNorm,F3amplitudeLogRelF0_sma3nz_amean,F3amplitudeLogRelF0_sma3nz_stddevNorm,alphaRatioV_sma3nz_amean,alphaRatioV_sma3nz_stddevNorm,hammarbergIndexV_sma3nz_amean,hammarbergIndexV_sma3nz_stddevNorm,slopeV0-500_sma3nz_amean,slopeV0-500_sma3nz_stddevNorm,slopeV500-1500_sma3nz_amean,slopeV500-1500_sma3nz_stddevNorm,spectralFluxV_sma3nz_amean,spectralFluxV_sma3nz_stddevNorm,mfcc1V_sma3nz_amean,mfcc1V_sma3nz_stddevNorm,mfcc2V_sma3nz_amean,mfcc2V_sma3nz_stddevNorm,mfcc3V_sma3nz_amean,mfcc3V_sma3nz_stddevNorm,mfcc4V_sma3nz_amean,mfcc4V_sma3nz_stddevNorm,alphaRatioUV_sma3nz_amean,hammarbergIndexUV_sma3nz_amean,slopeUV0-500_sma3nz_amean,slopeUV500-1500_sma3nz_amean,spectralFluxUV_sma3nz_amean,loudnessPeaksPerSec,VoicedSegmentsPerSec,MeanVoicedSegmentLengthSec,StddevVoicedSegmentLengthSec,MeanUnvoicedSegmentLength,StddevUnvoicedSegmentLength,equivalentSoundLevel_dBp,filename
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19829714,0.4325916,0.1386789,0.15523998,0.25574827,0.11706938,0.6941476,0.21615842,0.5760285,0.18107821,0.03354698,0.5692417,9.738987,0.45197666,9.701696,0.33522385,-1.217262,-3.6493475,-0.98724365,-5.015566,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-201.0,0.0,0.0,0.0,0.0,0.0,-201.0,0.0,0.0,0.0,0.0,0.0,-201.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.829609,14.84437,0.01413118,0.0014239894,0.03361016,1.001001,0.0,0.0,0.0,9.929999,0.0,-45.551632,../../../dataset/mimii/slider/id_06/abnormal/00000000.wav
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18714376,0.65091586,0.09124577,0.12682171,0.28713447,0.1958887,0.77190566,0.37520936,0.8836199,0.47180057,0.03899151,0.56832683,12.913125,0.61408293,9.600865,0.39372548,-0.9988848,-5.087708,8.386567,0.8145778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-201.0,0.0,0.0,0.0,0.0,0.0,-201.0,0.0,0.0,0.0,0.0,0.0,-201.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.418992,18.56529,-0.0006607869,0.007313655,0.0391029,1.1011012,0.0,0.0,0.0,9.929999,0.0,-44.067097,../../../dataset/mimii/slider/id_06/abnormal/00000001.wav
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2099056,0.48842528,0.13378221,0.16114713,0.27904895,0.14526674,0.7443428,0.42596078,0.9120965,0.57969946,0.040894225,0.5162474,7.7285366,0.57038337,9.169236,0.32905143,4.656499,1.4992176,6.0055494,0.9114162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-201.0,0.0,0.0,0.0,0.0,0.0,-201.0,0.0,0.0,0.0,0.0,0.0,-201.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.419366,15.040974,0.00021046618,0.008115866,0.040952463,1.2012012,0.0,0.0,0.0,9.929999,0.0,-44.288754,../../../dataset/mimii/slider/id_06/abnormal/00000002.wav
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21035472,0.4520749,0.14256555,0.17388491,0.27032986,0.12776431,0.8527224,0.6836955,0.54472166,0.17219436,0.038254894,0.53917515,9.930131,0.5588188,0.2917983,19.73881,3.9165874,1.7324598,4.4557815,1.1796108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-201.0,0.0,0.0,0.0,0.0,0.0,-201.0,0.0,0.0,0.0,0.0,0.0,-201.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.798583,11.49141,0.0073337886,0.0060712374,0.038369946,1.001001,0.0,0.0,0.0,9.929999,0.0,-45.06202,../../../dataset/mimii/slider/id_06/abnormal/00000003.wav
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21247156,0.48714048,0.13740441,0.16068304,0.2836762,0.1462718,0.78897077,0.32645595,0.6748124,0.27416116,0.03861695,0.6037177,8.096467,0.5751582,12.3681345,0.30799615,-2.2282538,-1.941141,-0.08972737,-55.28185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-201.0,0.0,0.0,0.0,0.0,0.0,-201.0,0.0,0.0,0.0,0.0,0.0,-201.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.656623,15.176752,0.008606432,-0.001214864,0.038664695,1.1011012,0.0,0.0,0.0,9.929999,0.0,-44.108704,../../../dataset/mimii/slider/id_06/abnormal/00000004.wav
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19846292,0.44372898,0.1385123,0.15173925,0.2577355,0.11922319,0.87262875,0.52470624,0.5947869,0.18503289,0.03860269,0.525224,11.606634,0.47142628,4.6729755,0.7432634,3.8543694,1.6315213,1.3784341,2.8521414,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-201.0,0.0,0.0,0.0,0.0,0.0,-201.0,0.0,0.0,0.0,0.0,0.0,-201.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.0332375,14.48648,0.008162701,0.005170199,0.038696956,1.1011012,0.0,0.0,0.0,9.929999,0.0,-45.28916,../../../dataset/mimii/slider/id_06/abnormal/00000005.wav
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22340667,0.51646835,0.13509619,0.16015175,0.32769197,0.19259578,0.90301824,0.21262115,0.76022446,0.6142448,0.03943027,0.5785235,10.040378,0.66227454,7.5481806,0.457999,-7.8168225,-0.5252676,4.409523,1.2572266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-201.0,0.0,0.0,0.0,0.0,0.0,-201.0,0.0,0.0,0.0,0.0,0.0,-201.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.024746,14.06624,0.011857009,0.003817064,0.039579306,1.001001,0.0,0.0,0.0,9.929999,0.0,-43.46437,../../../dataset/mimii/slider/id_06/abnormal/00000006.wav
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22274616,0.3853733,0.14996509,0.22293635,0.27930188,0.12933679,0.75173384,0.33146507,0.59658724,0.3145892,0.03416277,0.58666277,4.594554,1.0868856,-0.59917325,-10.412474,-0.7597848,-6.6328216,-2.0347378,-2.4933984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-201.0,0.0,0.0,0.0,0.0,0.0,-201.0,0.0,0.0,0.0,0.0,0.0,-201.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.1984072,9.161264,0.023763673,0.0083318185,0.034261186,1.1011012,0.0,0.0,0.0,9.929999,0.0,-46.023064,../../../dataset/mimii/slider/id_06/abnormal/00000007.wav
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22190575,0.5037101,0.13656789,0.16009904,0.32541412,0.18884623,0.7059748,0.263778,0.740554,0.29868644,0.038936365,0.61293393,8.627979,0.6639176,9.578691,0.32997417,-6.6098266,-0.6609393,0.64323205,7.755459,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-201.0,0.0,0.0,0.0,0.0,0.0,-201.0,0.0,0.0,0.0,0.0,0.0,-201.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.479835,15.22023,0.016231075,-1.1571171e-05,0.039088607,1.001001,0.0,0.0,0.0,9.929999,0.0,-43.551792,../../../dataset/mimii/slider/id_06/abnormal/00000008.wav
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17199664,0.5574149,0.10106081,0.12409983,0.2392076,0.13814679,0.8635273,0.42267463,0.5893437,0.3117676,0.036882035,0.5235198,12.985791,0.46659377,12.096385,0.30625772,2.9139261,2.0049908,7.7210073,0.8426501,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-201.0,0.0,0.0,0.0,0.0,0.0,-201.0,0.0,0.0,0.0,0.0,0.0,-201.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-10.5385685,18.71619,0.00082124764,0.0059340317,0.03697167,1.1011012,0.0,0.0,0.0,9.929999,0.0,-45.375748,../../../dataset/mimii/slider/id_06/abnormal/00000009.wav
