F0semitoneFrom27.5Hz_sma3nz_amean,F0semitoneFrom27.5Hz_sma3nz_stddevNorm,F0semitoneFrom27.5Hz_sma3nz_percentile20.0,F0semitoneFrom27.5Hz_sma3nz_percentile50.0,F0semitoneFrom27.5Hz_sma3nz_percentile80.0,F0semitoneFrom27.5Hz_sma3nz_pctlrange0-2,F0semitoneFrom27.5Hz_sma3nz_meanRisingSlope,F0semitoneFrom27.5Hz_sma3nz_stddevRisingSlope,F0semitoneFrom27.5Hz_sma3nz_meanFallingSlope,F0semitoneFrom27.5Hz_sma3nz_stddevFallingSlope,loudness_sma3_amean,loudness_sma3_stddevNorm,loudness_sma3_percentile20.0,loudness_sma3_percentile50.0,loudness_sma3_percentile80.0,loudness_sma3_pctlrange0-2,loudness_sma3_meanRisingSlope,loudness_sma3_stddevRisingSlope,loudness_sma3_meanFallingSlope,loudness_sma3_stddevFallingSlope,spectralFlux_sma3_amean,spectralFlux_sma3_stddevNorm,mfcc1_sma3_amean,mfcc1_sma3_stddevNorm,mfcc2_sma3_amean,mfcc2_sma3_stddevNorm,mfcc3_sma3_amean,mfcc3_sma3_stddevNorm,mfcc4_sma3_amean,mfcc4_sma3_stddevNorm,jitterLocal_sma3nz_amean,jitterLocal_sma3nz_stddevNorm,shimmerLocaldB_sma3nz_amean,shimmerLocaldB_sma3nz_stddevNorm,HNRdBACF_sma3nz_amean,HNRdBACF_sma3nz_stddevNorm,logRelF0-H1-H2_sma3nz_amean,logRelF0-H1-H2_sma3nz_stddevNorm,logRelF0-H1-A3_sma3nz_amean,logRelF0-H1-A3_sma3nz_stddevNorm,F1frequency_sma3nz_amean,F1frequency_sma3nz_stddevNorm,F1bandwidth_sma3nz_amean,F1bandwidth_sma3nz_stddevNorm,F1amplitudeLogRelF0_sma3nz_amean,F1amplitudeLogRelF0_sma3nz_stddevNorm,F2frequency_sma3nz_amean,F2frequency_sma3nz_stddevNorm,F2bandwidth_sma3nz_amean,F2bandwidth_sma3nz_stddevNorm,F2amplitudeLogRelF0_sma3nz_amean,F2amplitudeLogRelF0_sma3nz_stddevNorm,F3frequency_sma3nz_amean,F3frequency_sma3nz_stddevNorm,F3bandwidth_sma3nz_amean,F3bandwidth_sma3nz_stddevNorm,F3amplitudeLogRelF0_sma3nz_amean,F3amplitudeLogRelF0_sma3nz_stddevNorm,alphaRatioV_sma3nz_amean,alphaRatioV_sma3nz_stddevNorm,hammarbergIndexV_sma3nz_amean,hammarbergIndexV_sma3nz_stddevNorm,slopeV0-500_sma3nz_amean,slopeV0-500_sma3nz_stddevNorm,slopeV500-1500_sma3nz_amean,slopeV500-1500_sma3nz_stddevNorm,spectralFluxV_sma3nz_amean,spectralFluxV_sma3nz_stddevNorm,mfcc1V_sma3nz_amean,mfcc1V_sma3nz_stddevNorm,mfcc2V_sma3nz_amean,mfcc2V_sma3nz_stddevNorm,mfcc3V_sma3nz_amean,mfcc3V_sma3nz_stddevNorm,mfcc4V_sma3nz_amean,mfcc4V_sma3nz_stddevNorm,alphaRatioUV_sma3nz_amean,hammarbergIndexUV_sma3nz_amean,slopeUV0-500_sma3nz_amean,slopeUV500-1500_sma3nz_amean,spectralFluxUV_sma3nz_amean,loudnessPeaksPerSec,VoicedSegmentsPerSec,MeanVoicedSegmentLengthSec,StddevVoicedSegmentLengthSec,MeanUnvoicedSegmentLength,StddevUnvoicedSegmentLength,equivalentSoundLevel_dBp,filename
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17613207,0.40062863,0.12434696,0.14386316,0.2223382,0.09799124,0.54906756,0.28286126,0.507493,0.19345962,0.030053534,0.36511382,11.443171,0.68923324,5.244045,0.926442,0.7016465,9.637154,2.7773728,1.752201,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-201.0,0.0,0.0,0.0,0.0,0.0,-201.0,0.0,0.0,0.0,0.0,0.0,-201.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.5554934,13.970121,0.005829442,0.006242605,0.03010941,1.1011012,0.0,0.0,0.0,9.929999,0.0,-47.133823,../../../dataset/mimii/slider/id_06/normal/00000000.wav
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19675742,0.5438215,0.117630504,0.14059456,0.27959344,0.16196293,0.6941563,0.26213065,0.5939308,0.18930434,0.03338176,0.49327826,9.390432,1.0808965,9.248337,0.41182113,-0.8837713,-7.6703315,5.611857,0.79791397,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-201.0,0.0,0.0,0.0,0.0,0.0,-201.0,0.0,0.0,0.0,0.0,0.0,-201.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.46221,14.121326,0.010895437,0.011154723,0.033478454,1.001001,0.0,0.0,0.0,9.929999,0.0,-43.602974,../../../dataset/mimii/slider/id_06/normal/00000001.wav
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20528774,0.33950022,0.15551272,0.18405132,0.23594815,0.080435425,0.55706954,0.24089335,0.5019128,0.22331966,0.030537883,0.4161935,4.4826946,1.162221,5.977836,0.6610147,4.174037,1.8058639,1.2615198,3.5360372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-201.0,0.0,0.0,0.0,0.0,0.0,-201.0,0.0,0.0,0.0,0.0,0.0,-201.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.4454596,9.609487,0.007719447,0.0093277795,0.030603893,1.1011012,0.0,0.0,0.0,9.929999,0.0,-45.98673,../../../dataset/mimii/slider/id_06/normal/00000002.wav
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19938128,0.46911284,0.13400741,0.1510246,0.24888486,0.11487745,0.62109935,0.3512291,0.53509617,0.16669844,0.033344574,0.45458034,8.6904,0.9914985,6.8235703,0.6482197,1.7928659,3.9470098,3.1653092,1.2469158,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-201.0,0.0,0.0,0.0,0.0,0.0,-201.0,0.0,0.0,0.0,0.0,0.0,-201.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.6484256,12.57909,0.0046852552,0.006871747,0.033429135,1.1011012,0.0,0.0,0.0,9.929999,0.0,-44.511475,../../../dataset/mimii/slider/id_06/normal/00000003.wav
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18978277,0.43777335,0.13350493,0.15237342,0.23123866,0.097733736,0.5664325,0.27395085,0.5133431,0.17376754,0.033027474,0.39883894,9.563403,0.81370497,7.1415753,0.6123275,3.4382114,2.412707,1.9341116,2.7367048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-201.0,0.0,0.0,0.0,0.0,0.0,-201.0,0.0,0.0,0.0,0.0,0.0,-201.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.46476,13.244881,0.0036943862,0.0065516965,0.03281805,1.001001,0.0,0.0,0.0,9.929999,0.0,-45.29576,../../../dataset/mimii/slider/id_06/normal/00000004.wav
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20042773,0.41199335,0.14503272,0.1614697,0.24313682,0.098104104,0.50381815,0.21324222,0.51974183,0.12648956,0.030213065,0.45577765,7.991337,0.9182478,6.0675445,0.5836556,-10.046142,-0.4235363,4.1489706,1.125513,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-201.0,0.0,0.0,0.0,0.0,0.0,-201.0,0.0,0.0,0.0,0.0,0.0,-201.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.8885728,12.458622,0.004107558,0.0063962457,0.03028278,0.9009009,0.0,0.0,0.0,9.929999,0.0,-45.120487,../../../dataset/mimii/slider/id_06/normal/00000005.wav
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15892498,0.6810805,0.07799679,0.106259145,0.22854364,0.15054685,0.69402075,0.24386097,0.646784,0.2823307,0.030945184,0.5093871,9.260675,1.0700179,11.283577,0.37013018,0.09075971,74.36239,11.181303,0.57743955,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-201.0,0.0,0.0,0.0,0.0,0.0,-201.0,0.0,0.0,0.0,0.0,0.0,-201.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-10.573106,19.40786,-0.018393362,0.011946402,0.031051077,1.001001,0.0,0.0,0.0,9.929999,0.0,-44.621334,../../../dataset/mimii/slider/id_06/normal/00000006.wav
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17123441,0.4943051,0.11366479,0.12972738,0.22254804,0.10888325,0.59246784,0.24658859,0.4615396,0.0815711,0.031458545,0.40122592,10.25068,0.79934317,7.5048923,0.49942446,2.9144,2.3961718,5.9474516,0.6997146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-201.0,0.0,0.0,0.0,0.0,0.0,-201.0,0.0,0.0,0.0,0.0,0.0,-201.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.7839274,16.064861,-0.0034457722,0.010140931,0.031527285,1.001001,0.0,0.0,0.0,9.929999,0.0,-45.865185,../../../dataset/mimii/slider/id_06/normal/00000007.wav
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20405616,0.50716156,0.12988177,0.14824176,0.2809954,0.15111363,0.6600026,0.38898706,0.60376704,0.1301247,0.03529085,0.4526405,8.585975,1.1036146,7.196993,0.6685161,1.7453672,4.7001204,4.1741395,0.98283184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-201.0,0.0,0.0,0.0,0.0,0.0,-201.0,0.0,0.0,0.0,0.0,0.0,-201.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.8562155,12.760819,0.004648526,0.0082444465,0.03538247,1.001001,0.0,0.0,0.0,9.929999,0.0,-43.40053,../../../dataset/mimii/slider/id_06/normal/00000008.wav
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18560861,0.34797195,0.14221245,0.15664436,0.22470897,0.082496524,0.41901815,0.15700687,0.5502736,0.22233748,0.026593145,0.42904165,8.239158,0.73089886,5.2782087,0.59390676,-10.544663,-0.37727562,3.004665,1.4489272,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-201.0,0.0,0.0,0.0,0.0,0.0,-201.0,0.0,0.0,0.0,0.0,0.0,-201.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.3354162,13.168683,0.0099774115,0.006450967,0.026633399,1.001001,0.0,0.0,0.0,9.929999,0.0,-47.39132,../../../dataset/mimii/slider/id_06/normal/00000009.wav
