filename,Jitter.local,Jitter.RAP,Jitter.PPQ5,Jitter.APQ55,Shimmer.local,Shimmer.APQ3,Shimmer.APQ5,Shimmer.APQ11,Shimmer.APQ55,PVI,PPF,DPF,PPE,Hp.mean.1,Hp.SD.1,RelHp.1,machine_type,machine_id,label
00000000.wav,8.724655,5.176267,5.604967,6.950194,26.42738,15.09644,16.77928,18.28368,19.66671,2.102396,35.03552,73.62345,3.517908,-10.57774,5.443282,0.06241799,fan,id_04,abnormal
00000001.wav,7.907631,4.67021,5.060149,6.498225,20.1576,11.39247,12.83732,13.81376,14.93305,1.410149,59.87815,71.36641,2.74657,-12.69447,7.101583,0.05051512,fan,id_04,abnormal
00000002.wav,9.892593,6.024279,6.344441,7.581054,31.63561,18.28498,20.12054,22.11431,23.23523,3.034556,16.85282,78.60511,4.021134,-12.50265,5.799203,0.05463927,fan,id_04,abnormal
00000003.wav,7.147639,4.111461,4.692455,6.39621,22.58968,12.89881,14.77591,15.68864,16.35291,2.106492,46.875,68.30357,3.108936,-10.4952,4.915184,0.06489132,fan,id_04,abnormal
00000004.wav,8.886638,5.241833,5.607498,7.016229,26.30844,14.87856,17.13392,18.38098,19.48027,2.832141,33.29203,73.77117,3.670625,-9.958364,5.026635,0.0667334,fan,id_04,abnormal
00000005.wav,8.769186,5.188075,5.662339,6.531751,27.57969,15.95099,17.84417,19.56544,20.88918,1.798352,35.13514,73.91677,3.229787,-9.610571,5.268438,0.06720877,fan,id_04,abnormal
00000006.wav,8.532764,5.08629,5.417034,6.483299,26.91612,15.48496,17.17323,18.79928,19.64225,1.729391,33.0307,75.22698,3.270079,-10.35712,5.787061,0.06194184,fan,id_04,abnormal
00000007.wav,7.596662,4.492023,5.015647,6.435052,20.23849,11.69046,12.76703,14.19666,15.29734,1.54172,59.17637,70.72516,2.779901,-11.70141,6.691599,0.05436849,fan,id_04,abnormal
00000008.wav,9.83492,5.986449,6.435343,7.596283,31.86537,18.30093,20.45882,21.97901,23.63359,2.747711,15.92483,78.01682,3.83324,-12.06641,5.696262,0.05629784,fan,id_04,abnormal
00000009.wav,8.943611,5.316898,5.658331,6.831259,27.22594,15.53882,17.50132,19.26031,20.37313,2.617805,33.8703,75.01033,3.528005,-10.3842,5.333429,0.06362283,fan,id_04,abnormal
00000010.wav,9.539985,5.764231,6.233387,7.503943,32.05916,18.49499,20.72446,22.23509,23.47209,2.823552,14.26449,77.21644,3.874415,-12.15613,5.887558,0.05542103,fan,id_04,abnormal
00000011.wav,9.005006,5.312516,5.85891,7.778349,27.78297,15.79744,17.87989,19.53825,20.9362,3.182204,27.80888,74.46809,3.811213,-12.14137,5.175826,0.05774605,fan,id_04,abnormal
00000012.wav,8.824716,5.243423,5.745668,6.600033,26.49527,15.19475,17.15353,18.38097,19.31207,2.150452,34.69736,73.40153,3.422095,-9.503521,5.189359,0.06806018,fan,id_04,abnormal
