filename,Jitter.local,Jitter.RAP,Jitter.PPQ5,Jitter.APQ55,Shimmer.local,Shimmer.APQ3,Shimmer.APQ5,Shimmer.APQ11,Shimmer.APQ55,PVI,PPF,DPF,PPE,Hp.mean.1,Hp.SD.1,RelHp.1,machine_type,machine_id,label
00000000.wav,6.379438,3.701162,4.034654,4.387426,22.26516,12.77889,14.24109,15.66811,16.43446,1.889865,18.45893,72.3116,3.349612,-12.04642,5.731921,0.05624823,fan,id_04,normal
00000001.wav,6.437174,3.793741,4.081576,4.517399,23.0027,13.01736,14.56931,16.13538,17.31174,2.387093,17.55789,75.03158,3.428367,-12.90822,4.852225,0.05630489,fan,id_04,normal
00000002.wav,6.952811,4.073049,4.359465,5.283557,21.52203,12.25347,13.93273,15.1827,16.37196,2.703984,20.52786,73.98408,3.57071,-13.71198,5.295602,0.05261059,fan,id_04,normal
00000003.wav,6.556836,3.817358,4.138749,4.806887,21.07013,12.03101,13.54905,14.78604,16.23021,2.700855,16.49832,73.94781,3.566468,-11.71396,5.548407,0.05792947,fan,id_04,normal
00000004.wav,6.893295,4.040773,4.244684,4.841027,22.41203,12.7755,14.27687,15.6291,16.80771,2.802256,19.83229,73.58491,3.562737,-12.36886,5.852405,0.05488093,fan,id_04,normal
00000005.wav,7.126091,4.162591,4.548241,5.422628,22.95533,13.14134,14.77341,16.02844,17.20611,2.855091,21.33874,73.59026,3.653597,-13.35296,5.38507,0.05336741,fan,id_04,normal
00000006.wav,6.909842,4.109597,4.35829,4.963214,21.55756,12.37801,13.89054,15.34556,16.70005,2.577194,21.19038,75.68594,3.546729,-12.729,5.303314,0.05545599,fan,id_04,normal
00000007.wav,6.883542,4.000042,4.382525,5.076588,22.53167,12.77374,14.6377,16.18704,17.40246,2.677052,18.96764,73.4535,3.604681,-13.77222,5.989418,0.05060309,fan,id_04,normal
00000008.wav,5.250998,3.096952,3.307167,3.851591,20.46838,11.64061,13.10505,14.57369,16.13166,2.067439,12.68817,74.88172,3.408921,-12.92191,5.146762,0.0553444,fan,id_04,normal
00000009.wav,5.75143,3.399118,3.640237,4.352509,21.48917,12.24304,13.63658,15.40742,16.784,1.95009,13.13717,76.66805,3.449804,-17.01259,5.770505,0.04389219,fan,id_04,normal
00000010.wav,7.094532,4.17112,4.42289,5.150214,23.11083,13.31818,14.80839,15.92351,16.77848,2.824631,20.88999,74.24804,3.637734,-12.58818,5.404595,0.05557786,fan,id_04,normal
00000011.wav,7.046887,4.12695,4.505051,5.041439,21.90573,12.51262,14.1996,15.77602,16.96306,2.393643,20.23314,73.89675,3.483066,-13.55688,5.430953,0.0526653,fan,id_04,normal
00000012.wav,7.223492,4.220176,4.537284,5.078872,22.15277,12.74063,14.29097,15.72308,17.1685,2.595223,21.92243,73.60877,3.530373,-13.27606,5.573014,0.05305302,fan,id_04,normal
00000013.wav,7.215988,4.245762,4.495366,5.130374,21.86685,12.33375,14.26243,15.47116,16.72498,2.660531,20.29046,74.6473,3.59963,-11.67448,4.78115,0.06076946,fan,id_04,normal
00000014.wav,5.62593,3.280016,3.53979,4.112838,20.96524,11.94196,13.39476,14.69807,16.24271,2.360151,13.77835,74.54001,3.455826,-13.06196,5.150803,0.05490654,fan,id_04,normal
00000015.wav,6.479879,3.7473,4.117503,5.042244,20.11191,11.59632,12.78638,13.70252,14.98233,2.85543,16.05717,73.47625,3.458411,-11.92556,4.798816,0.05979295,fan,id_04,normal
00000016.wav,7.015482,4.154736,4.362526,5.108951,22.42523,12.78415,14.4285,15.87723,16.92154,3.036032,20.73828,74.45044,3.556324,-12.13079,5.379031,0.05711082,fan,id_04,normal
00000017.wav,7.064212,4.153284,4.424903,5.346952,22.60708,13.00355,14.6849,15.79837,17.19763,2.49706,22.00689,74.20327,3.46413,-14.41573,5.770779,0.04953803,fan,id_04,normal
00000018.wav,6.739763,3.951255,4.286135,4.719074,21.90557,12.63218,13.87387,15.47062,16.47889,2.20409,19.42078,74.14821,3.448001,-13.72724,5.71061,0.05144602,fan,id_04,normal
00000019.wav,6.811731,4.007547,4.256741,4.859279,22.38868,12.84099,14.41714,15.84136,17.26103,2.429488,18.85382,74.62625,3.481714,-12.69247,5.340964,0.05545254,fan,id_04,normal
00000020.wav,6.730454,3.913336,4.289886,5.25545,22.97067,13.04507,14.69873,16.64359,18.00232,2.450785,19.28021,72.66495,3.461592,-14.3719,5.659193,0.04992238,fan,id_04,normal
00000021.wav,6.699072,3.895808,4.304331,5.465452,21.85131,12.43447,14.12811,15.26496,16.83931,2.661344,20.14636,72.57856,3.642062,-12.17371,5.284476,0.05727973,fan,id_04,normal
00000022.wav,7.061025,4.141902,4.390706,5.068184,21.06262,12.04517,13.5652,14.64342,15.75912,2.85179,20.56708,74.35463,3.552349,-13.17774,5.738994,0.05286326,fan,id_04,normal
00000023.wav,6.92254,4.04809,4.436596,4.988976,21.72701,12.36565,14.29056,15.46047,16.65766,2.795282,20.21008,73.23529,3.548191,-12.17294,5.148219,0.05773285,fan,id_04,normal
00000024.wav,7.172987,4.184514,4.542693,5.357196,22.77693,12.92335,14.68183,15.72435,17.28234,2.848088,20.56268,73.976,3.597692,-12.96108,4.906288,0.05596794,fan,id_04,normal
00000025.wav,7.607718,4.48839,4.832575,5.727887,23.35458,13.47923,14.83551,16.14579,17.2981,2.783998,27.33333,73.42222,3.523365,-13.1705,5.092911,0.05475428,fan,id_04,normal
00000026.wav,7.097513,4.143188,4.520662,5.31723,22.48654,12.66092,14.5446,16.00149,17.17071,2.642283,20.46492,74.3462,3.606594,-12.72666,5.598058,0.05457109,fan,id_04,normal
00000027.wav,6.659115,3.907207,4.107812,4.6182,22.09784,12.74779,14.07782,15.20097,16.47695,2.600302,18.73407,74.0017,3.517742,-11.98325,5.129171,0.0584371,fan,id_04,normal
00000028.wav,5.09401,2.961283,3.180589,3.695057,20.98174,11.86841,13.55226,15.33408,16.62264,1.886245,9.455466,75.64373,3.337564,-15.70749,5.046072,0.0481845,fan,id_04,normal
00000029.wav,7.530208,4.389025,4.6899,6.537837,21.61924,12.2593,13.81768,15.26457,16.37415,3.702649,22.75667,73.28213,3.681749,-15.01264,5.478931,0.04880055,fan,id_04,normal
00000030.wav,7.200673,4.224209,4.524169,5.312438,22.75964,13.03826,14.80465,16.13364,16.92517,2.962265,21.96339,74.20965,3.632067,-12.58604,5.256827,0.05604482,fan,id_04,normal
00000031.wav,7.146001,4.176621,4.510273,5.098999,23.00368,13.00899,14.75693,16.1236,17.21831,2.702583,21.44061,72.95703,3.595828,-12.17769,5.620326,0.05618605,fan,id_04,normal
00000032.wav,7.325969,4.305733,4.596745,5.797824,23.23486,13.51601,14.6987,16.11128,17.16693,2.515155,22.61803,74.24893,3.565476,-14.76193,5.981258,0.0482086,fan,id_04,normal
00000033.wav,7.083115,4.131446,4.55601,5.219021,23.19265,13.26233,14.90894,16.16747,17.44855,2.363251,21.236,72.7499,3.578171,-13.54643,5.133926,0.05353217,fan,id_04,normal
00000034.wav,7.104692,4.180888,4.481966,5.027873,22.48502,12.74668,14.64174,15.96956,16.9983,2.843396,21.57851,74.13938,3.5712,-12.89393,5.374294,0.05473987,fan,id_04,normal
00000035.wav,6.92874,4.110182,4.340171,4.750307,22.1161,12.49388,14.50281,15.53804,16.83195,2.263053,20.90372,76.1402,3.463603,-13.23747,5.366501,0.05375197,fan,id_04,normal
00000036.wav,7.139567,4.188959,4.466997,5.006514,22.04589,12.55581,14.30421,15.39101,16.79335,2.71483,21.08759,74.51225,3.443809,-12.79271,5.483305,0.05471652,fan,id_04,normal
00000037.wav,6.985631,4.114373,4.296518,4.88725,21.45951,12.31313,13.79072,15.04618,16.44357,2.705119,19.73075,75.55743,3.558063,-13.59304,5.475322,0.05244289,fan,id_04,normal
00000038.wav,7.048532,4.093793,4.478105,5.136037,22.66765,12.98742,14.42508,15.74129,16.63452,2.4227,19.62578,72.93139,3.54599,-11.33034,5.154093,0.06066328,fan,id_04,normal
00000039.wav,6.264988,3.630439,3.923884,4.966335,19.68253,11.22222,12.77453,14.21053,15.44703,2.924686,15.23454,72.35367,3.513353,-14.58789,5.741431,0.04919005,fan,id_04,normal
00000040.wav,7.252464,4.253621,4.559478,5.201577,22.49081,12.67237,14.56718,15.97823,16.94367,2.726743,22.02532,73.24895,3.601148,-13.22716,5.340054,0.05385838,fan,id_04,normal
