filename,Jitter.local,Jitter.RAP,Jitter.PPQ5,Jitter.APQ55,Shimmer.local,Shimmer.APQ3,Shimmer.APQ5,Shimmer.APQ11,Shimmer.APQ55,PVI,PPF,DPF,PPE,Hp.mean.1,Hp.SD.1,RelHp.1,machine_type,machine_id,label
00000000.wav,4.136574,2.531128,2.851221,5.267598,20.34319,11.66345,13.04945,14.33285,15.10304,3.749755,10.30858,78.9081,3.90539,-12.37939,5.702781,0.0553031,pump,id_02,abnormal
00000001.wav,6.043252,3.644031,4.112058,6.071323,17.80455,10.17741,11.20991,12.46498,13.21423,2.388421,41.3631,76.73325,3.284109,-12.68497,6.094428,0.05324984,pump,id_02,abnormal
00000002.wav,4.648645,2.833657,3.082238,5.401016,20.30617,11.65696,13.18965,14.25561,15.15019,3.698719,11.92957,78.83579,3.796245,-12.07544,4.867215,0.05902261,pump,id_02,abnormal
00000003.wav,5.410555,3.302231,3.594279,5.903757,20.03803,11.44141,12.91399,13.96556,14.75629,2.691171,24.05185,78.15651,3.397531,-11.86864,5.476385,0.05765341,pump,id_02,abnormal
00000004.wav,5.030184,3.098933,3.401534,6.2652,19.6308,11.22563,12.74952,13.80763,14.80955,3.434273,17.16255,78.66473,3.858786,-15.06514,5.696105,0.04816666,pump,id_02,abnormal
00000005.wav,5.646832,3.483674,3.917136,6.262333,18.24025,10.33472,11.92669,13.01012,13.6181,3.417697,38.36778,78.37838,3.526507,-12.29822,6.235421,0.05395594,pump,id_02,abnormal
00000006.wav,5.833993,3.574298,4.023699,5.91359,19.22764,11.03505,12.47715,13.55849,15.11445,2.664082,40.70175,78.83041,3.322561,-13.61679,6.422003,0.0499032,pump,id_02,abnormal
00000007.wav,6.972167,4.213877,4.455918,5.60025,17.10589,9.732228,11.07033,12.32429,12.90328,1.045505,53.64388,77.61082,2.778273,-11.41193,6.390041,0.05617356,pump,id_02,abnormal
00000008.wav,5.750673,3.443464,3.861314,6.273763,20.11996,11.69818,12.65723,13.68493,14.48497,3.048923,24.856,77.22641,3.577772,-11.50046,4.969931,0.06071501,pump,id_02,abnormal
00000009.wav,5.937216,3.663171,4.00039,6.630695,20.44819,11.76241,13.18893,14.22461,14.78321,3.305261,33.44156,78.94249,3.55868,-11.40459,5.951128,0.0576179,pump,id_02,abnormal
00000010.wav,5.02936,3.082194,3.40439,5.645885,20.06267,11.52469,12.78487,13.94738,14.67751,3.47006,18.75,77.81636,3.797573,-13.66201,6.045704,0.05074156,pump,id_02,abnormal
00000011.wav,5.853123,3.564811,3.889841,6.038124,19.21838,11.06955,12.42876,13.60146,14.4041,2.938344,30.41992,79.00391,3.500754,-12.46255,5.543314,0.05553747,pump,id_02,abnormal
00000012.wav,4.990483,3.053394,3.418668,6.062793,19.83512,11.40912,12.51545,13.70993,14.56094,3.906091,19.81908,78.24836,3.760445,-13.91408,5.897272,0.05047612,pump,id_02,abnormal
00000013.wav,6.389794,3.887494,4.332834,6.641292,18.61854,10.49261,12.05106,13.24185,13.91052,3.274048,39.27968,76.81486,3.483473,-12.40958,5.613373,0.0554848,pump,id_02,abnormal
00000014.wav,5.913724,3.622518,4.037292,6.203955,19.19341,10.82111,12.31605,13.74636,14.62063,2.910059,32.52381,77.47619,3.568053,-12.01127,5.562665,0.05690247,pump,id_02,abnormal
00000015.wav,5.10842,3.108713,3.503181,6.016631,19.85146,11.48949,12.88251,13.6358,14.28013,3.786413,20.51388,77.78699,3.67159,-11.95655,5.481629,0.05734544,pump,id_02,abnormal
00000016.wav,5.303037,3.193983,3.555482,5.589774,19.17137,11.14678,12.30267,13.06835,14.10824,2.662429,23.02483,77.92325,3.55283,-12.75093,5.436278,0.0549837,pump,id_02,abnormal
00000017.wav,5.163972,3.166366,3.418108,6.052966,20.68873,11.86169,13.1929,14.15876,14.94116,3.519257,18.08806,76.99326,3.736536,-12.09902,5.368051,0.05725058,pump,id_02,abnormal
00000018.wav,4.854621,3.006892,3.275364,6.308608,20.8455,11.82507,13.29573,14.52292,15.37141,3.933843,15.04329,79.43723,3.933576,-13.26718,5.541237,0.05316767,pump,id_02,abnormal
00000019.wav,6.415385,3.908868,4.316404,6.794449,17.64075,10.1098,11.29828,12.5263,13.37023,3.243516,45.86858,76.838,3.255196,-11.72256,5.654758,0.05754628,pump,id_02,abnormal
00000020.wav,6.095178,3.741997,4.011926,6.359543,18.20344,10.26031,11.77092,12.88264,14.36065,2.620985,41.35437,78.30375,3.207443,-12.25373,4.912992,0.05825224,pump,id_02,abnormal
00000021.wav,5.963022,3.580968,4.11817,5.677773,20.77299,11.81958,13.43534,14.41986,15.17312,3.277659,26.3357,77.06856,3.497103,-15.05564,5.567375,0.04848952,pump,id_02,abnormal
00000022.wav,4.970929,3.018717,3.205825,5.077078,21.36075,12.17272,13.56929,14.95566,15.64899,3.313528,10.75642,78.93824,3.852826,-11.79126,5.271316,0.05860781,pump,id_02,abnormal
00000023.wav,4.56866,2.813519,3.126061,3.656226,18.4116,10.46422,11.92859,12.67785,13.59788,1.276423,32.28782,76.62977,2.912395,-15.49146,5.423714,0.04781217,pump,id_02,abnormal
00000024.wav,5.452498,3.268383,3.589923,6.679939,19.05572,10.86504,12.1434,12.99223,13.7962,2.83932,23.50293,76.63215,3.590048,-12.15579,5.168269,0.05772318,pump,id_02,abnormal
00000025.wav,4.545778,2.733044,3.090538,4.979404,20.97,12.02852,13.32844,14.23138,15.02941,4.04244,10.25286,76.89643,3.85694,-13.09726,5.373288,0.05414023,pump,id_02,abnormal
00000026.wav,4.557956,2.767249,3.059709,4.92275,21.27808,12.22602,13.62788,14.76705,15.52189,3.135416,9.774436,78.16131,3.85693,-11.77147,5.440028,0.05810071,pump,id_02,abnormal
00000027.wav,5.29529,3.229846,3.522661,5.654106,16.94649,9.547745,10.68356,12.31108,13.18701,2.625105,42.72534,76.36622,3.001365,-17.31294,5.758624,0.0433434,pump,id_02,abnormal
00000028.wav,5.872686,3.559944,4.080675,5.814369,19.16449,10.93686,12.23469,13.16797,13.87776,2.45938,35.97046,77.05696,3.206586,-13.70303,6.127561,0.05042715,pump,id_02,abnormal
00000029.wav,5.703475,3.459716,3.804095,5.687795,17.62539,10.06597,11.38432,12.5438,13.42058,2.898656,32.98397,78.79162,3.224428,-13.03982,5.540538,0.05382027,pump,id_02,abnormal
00000030.wav,5.715024,3.474499,3.902127,6.050487,17.34862,9.848716,11.40281,12.1479,13.01424,2.083648,41.64096,78.90191,3.2654,-12.80221,5.42752,0.05485544,pump,id_02,abnormal
00000031.wav,5.222245,3.192707,3.594036,6.094955,19.59693,11.31165,12.37635,13.60396,14.32379,3.561005,27.35002,77.56259,3.568748,-13.30528,5.556544,0.05301715,pump,id_02,abnormal
00000032.wav,4.916782,2.969363,3.242809,5.364355,21.05838,11.97847,13.59681,14.63871,15.5817,3.567554,14.85371,78.24456,3.769237,-13.49314,5.583151,0.0524211,pump,id_02,abnormal
00000033.wav,6.532943,3.924977,4.43205,6.332834,18.16887,10.42407,11.71927,12.44761,13.16406,1.952726,52.6738,76.80481,3.167843,-10.55145,5.503147,0.06228745,pump,id_02,abnormal
00000034.wav,5.894872,3.554906,3.934845,5.850393,18.53207,10.59439,11.89767,12.94644,13.5762,3.092478,35.69892,75.80645,3.428939,-13.27764,6.101034,0.05160312,pump,id_02,abnormal
00000035.wav,5.908113,3.615288,3.991556,6.599225,18.62782,10.6766,11.90151,12.88762,13.66174,2.423128,34.51282,77.23077,3.374095,-12.00089,5.75312,0.05632531,pump,id_02,abnormal
00000036.wav,4.953857,3.049348,3.267213,5.570395,17.47949,10.01225,10.96349,12.39234,13.94344,2.914441,33.44393,78.56669,3.112649,-12.04044,5.030535,0.05857896,pump,id_02,abnormal
00000037.wav,6.453833,3.930214,4.363997,5.623661,19.30971,11.12091,12.49336,13.09627,13.59391,1.749607,43.36043,77.59711,2.717313,-9.683763,5.494657,0.06588301,pump,id_02,abnormal
00000038.wav,5.003025,2.991938,3.151225,4.007157,22.53491,12.91328,14.51182,15.57757,16.34895,2.452825,7.627688,78.0914,3.506201,-11.05472,5.259143,0.06129757,pump,id_02,abnormal
00000039.wav,5.16031,3.092707,3.447407,5.249394,20.85786,11.76877,13.37298,14.98529,15.55757,2.506322,15.4202,77.98766,3.551855,-12.43386,5.039128,0.05723118,pump,id_02,abnormal
00000040.wav,6.113975,3.70754,3.957316,5.343893,20.23804,11.59691,12.90217,13.98927,15.03119,2.723948,28.77335,76.7794,3.330033,-10.65719,5.90351,0.06038393,pump,id_02,abnormal
00000041.wav,6.306906,3.841551,4.291838,5.921191,18.12651,10.51821,11.31486,12.41603,13.28091,1.48653,44.29692,76.28244,2.981161,-10.78392,5.389072,0.06183148,pump,id_02,abnormal
