filename,Jitter.local,Jitter.RAP,Jitter.PPQ5,Jitter.APQ55,Shimmer.local,Shimmer.APQ3,Shimmer.APQ5,Shimmer.APQ11,Shimmer.APQ55,PVI,PPF,DPF,PPE,Hp.mean.1,Hp.SD.1,RelHp.1,machine_type,machine_id,label
00000000.wav,6.541197,3.768231,4.585637,6.770605,25.00685,13.65223,16.56648,19.36593,20.18097,3.877345,22.74581,68.87177,3.641945,-9.065437,5.695136,0.06774805,pump,id_06,normal
00000001.wav,6.550471,3.858092,4.436498,5.660841,22.41156,12.32757,14.86514,16.69341,17.40335,2.659906,25.40461,71.06425,3.423514,-7.350642,5.024496,0.08080718,pump,id_06,normal
00000002.wav,6.232486,3.614304,4.312391,5.321294,21.43878,11.8424,14.33014,16.22752,16.92542,2.200967,23.0273,69.87593,3.371733,-6.397081,3.267891,0.1034664,pump,id_06,normal
00000003.wav,6.637819,3.845194,4.608432,5.885358,22.51614,12.3252,15.10063,17.17252,17.86167,2.291894,25.55663,69.6999,3.423561,-7.126548,4.871218,0.08334885,pump,id_06,normal
00000004.wav,6.650903,3.90569,4.611852,5.978135,22.48951,12.453,14.92626,17.3264,17.91026,2.828626,24.53638,70.61341,3.488246,-7.573872,5.67245,0.07549265,pump,id_06,normal
00000005.wav,7.835766,4.674846,4.957103,7.28897,28.28772,15.8073,18.32485,21.4289,22.90407,3.750637,21.49362,75.26412,3.845683,-11.75902,5.884979,0.05667649,pump,id_06,normal
00000006.wav,7.129123,4.155149,4.909696,6.362172,24.71845,13.46819,16.46566,18.8057,20.11753,3.74761,26.24539,70.52583,3.63608,-8.708933,6.01166,0.06793205,pump,id_06,normal
00000007.wav,6.607343,3.820384,4.593714,6.112175,25.01044,13.66621,16.56136,19.01666,19.8434,3.445745,23.86888,69.80609,3.59415,-9.413314,5.41487,0.06743914,pump,id_06,normal
00000008.wav,6.639325,3.854559,4.405762,6.393113,25.82828,14.01934,17.1707,19.81664,21.17501,3.698443,24.4765,68.77617,3.549314,-10.1342,5.349906,0.06458237,pump,id_06,normal
00000009.wav,6.030407,3.472953,4.215676,5.510146,23.80257,13.02024,16.10879,18.14523,18.62845,2.938872,20.11199,69.24872,3.419049,-10.54758,5.968924,0.06054549,pump,id_06,normal
00000010.wav,6.013585,3.366688,4.137348,5.07027,23.0902,12.57967,15.64476,17.78081,18.57296,2.007919,19.3135,67.82609,3.279962,-13.73696,5.457893,0.05209731,pump,id_06,normal
00000011.wav,6.32164,3.649031,4.418964,6.38961,24.78038,13.57408,16.71155,19.50152,20.25862,3.676053,22.88991,67.70642,3.655277,-10.31968,6.093052,0.0609283,pump,id_06,normal
00000012.wav,6.806271,3.969147,4.593714,6.673378,26.17311,14.48296,17.2321,19.45579,20.60901,3.456789,22.82704,70.80773,3.681794,-10.44124,6.587179,0.05872537,pump,id_06,normal
00000013.wav,6.795591,3.965561,4.661195,6.029545,24.65866,13.76119,16.5209,18.52113,19.269,3.137183,24.7808,70.32764,3.534451,-9.865083,5.088325,0.06687439,pump,id_06,normal
00000014.wav,6.386127,3.645218,4.471781,5.581389,23.84783,13.05024,16.07353,17.9799,18.7663,2.83589,23.75367,67.3998,3.461908,-10.56654,5.168359,0.063553,pump,id_06,normal
00000015.wav,6.563064,3.7522,4.510913,6.771008,25.47208,13.76589,16.95104,20.10535,21.07031,4.138271,21.87639,68.16363,3.682717,-10.80193,5.566848,0.06109191,pump,id_06,normal
00000016.wav,5.634552,3.167478,3.913323,4.756656,23.11666,12.65068,15.63334,17.77548,18.60023,1.751788,15.63488,68.41392,3.05673,-14.97513,5.446748,0.04896709,pump,id_06,normal
00000017.wav,6.937757,4.005558,4.721804,6.331059,25.97653,14.03241,17.42535,20.06863,20.87085,3.087686,24.27441,69.96482,3.65232,-12.12778,5.954714,0.0553021,pump,id_06,normal
