filename,Jitter.local,Jitter.RAP,Jitter.PPQ5,Jitter.APQ55,Shimmer.local,Shimmer.APQ3,Shimmer.APQ5,Shimmer.APQ11,Shimmer.APQ55,PVI,PPF,DPF,PPE,Hp.mean.1,Hp.SD.1,RelHp.1,machine_type,machine_id,label
00000000.wav,5.141428,3.04201,3.276874,5.44195,18.15486,9.966206,11.62253,13.79127,26.92092,3.327146,19.68668,74.51697,3.12788,-14.12421,11.39592,0.03918475,slider,id_00,abnormal
00000001.wav,5.532128,3.261423,3.506585,5.429725,18.22875,10.23605,11.32664,13.63281,25.94559,3.661601,13.00043,75.50581,3.395804,-12.6603,11.23188,0.0418547,slider,id_00,abnormal
00000002.wav,6.016673,3.580884,3.739806,4.78158,19.32995,11.19543,11.71211,13.78401,25.55447,3.006175,15.16626,76.15572,3.441078,-10.3171,9.553845,0.05032473,slider,id_00,abnormal
00000003.wav,5.739905,3.410205,3.607908,5.985459,18.09667,10.28222,11.25853,13.42246,25.31833,3.529019,14.5935,75.4065,3.474811,-12.52474,11.11554,0.04230069,slider,id_00,abnormal
00000004.wav,5.068067,3.045002,3.098433,4.617675,18.9572,10.87187,11.46641,13.36389,24.34218,2.770047,9.538825,78.00552,3.081181,-10.94159,10.28368,0.04711365,slider,id_00,abnormal
00000005.wav,5.69124,3.388254,3.672231,6.173236,17.90109,9.986203,11.47535,13.5746,26.84832,2.772435,16.10567,75.2876,3.482653,-14.37018,12.2084,0.03762427,slider,id_00,abnormal
00000006.wav,4.35233,2.55757,2.754331,4.270523,15.88329,8.756397,9.951375,12.18957,23.91837,1.796433,11.05723,76.72163,2.929024,-14.82061,14.20611,0.03445102,slider,id_00,abnormal
00000007.wav,3.007533,1.783417,1.985797,4.385346,15.72881,8.610267,9.902783,12.44357,25.33667,2.004744,11.27633,74.53532,2.766586,-18.05318,11.8938,0.03339234,slider,id_00,abnormal
00000008.wav,1.508503,0.9451431,1.091999,1.384367,16.32507,8.534144,10.28594,15.95692,33.83943,0.3504882,8.64799,76.73569,1.602695,-33.3815,5.609999,0.02564661,slider,id_00,abnormal
00000009.wav,5.540199,3.276894,3.516624,5.654978,17.5457,9.838463,11.15329,13.03393,24.81615,3.094838,10.95146,75.8835,3.504836,-12.80197,12.23098,0.03994735,slider,id_00,abnormal
00000010.wav,5.652755,3.381288,3.653347,5.673358,18.74513,10.71274,11.46845,13.66044,26.15883,3.382129,15.6438,75.73205,3.313187,-13.3099,11.35997,0.04053528,slider,id_00,abnormal
00000011.wav,2.677579,1.631018,1.79856,2.707461,16.43853,8.915267,10.30943,13.91827,28.0361,1.104262,11.8905,76.21899,2.199471,-20.35707,14.60852,0.02859955,slider,id_00,abnormal
00000012.wav,4.766957,2.844632,2.974827,4.402833,18.47466,10.71158,11.28652,13.19489,24.32917,2.081969,8.050847,78.46687,2.939343,-12.67862,11.78073,0.04088417,slider,id_00,abnormal
00000013.wav,4.945949,2.944633,2.99305,4.885703,16.89265,9.643533,10.4231,12.32378,23.25461,2.593353,11.56143,77.26109,3.244651,-11.68664,11.62476,0.04289747,slider,id_00,abnormal
00000014.wav,5.300614,3.156899,3.322291,6.117624,17.51958,9.885319,11.16266,13.15928,25.50893,4.578028,13.72874,75.98507,3.417258,-13.67991,11.62329,0.0395207,slider,id_00,abnormal
00000015.wav,2.030632,1.204801,1.300009,1.972859,16.30888,8.745772,10.43993,14.09895,29.09247,0.9603958,8.221344,74.78261,2.296127,-17.58854,4.48883,0.04529526,slider,id_00,abnormal
00000016.wav,5.47788,3.274087,3.358182,5.016972,18.67206,10.79491,11.56484,13.43851,23.94676,2.777222,10.63911,76.77,3.240718,-12.76116,11.94435,0.0404768,slider,id_00,abnormal
00000017.wav,5.463758,3.211575,3.473342,5.390322,17.7017,10.07316,10.84202,13.1008,25.48088,4.148063,10.49808,74.78927,3.424468,-12.75518,11.92879,0.04051212,slider,id_00,abnormal
00000018.wav,4.328917,2.514415,2.742651,5.16953,16.97584,9.30936,11.00131,13.57785,26.69965,2.230543,16.71356,73.15701,3.090037,-19.42179,11.55612,0.03228107,slider,id_00,abnormal
00000019.wav,5.073282,3.012208,3.253292,5.319448,17.01197,9.389636,10.9244,13.34421,25.78254,2.784498,14.8405,75.72816,3.287012,-14.68239,12.21901,0.03717279,slider,id_00,abnormal
00000020.wav,5.512478,3.266758,3.440851,5.908874,17.18345,9.528217,10.80638,12.94923,24.4203,3.278919,15.74279,76.18625,3.37586,-13.24217,11.11466,0.04105625,slider,id_00,abnormal
00000021.wav,5.102149,3.043382,3.232125,6.24617,17.45224,9.735549,10.79163,13.93522,26.96352,4.396534,18.85454,73.39078,3.243816,-16.121,11.20043,0.03660131,slider,id_00,abnormal
00000022.wav,5.356081,3.261126,3.117158,4.479429,18.46603,10.87943,10.93593,12.86259,23.20523,2.38928,12.13372,79.36442,2.960036,-10.70573,11.09472,0.04587059,slider,id_00,abnormal
00000023.wav,4.619076,2.76549,2.841864,4.939958,16.80607,9.52241,10.46086,12.19911,22.77954,2.597018,8.11143,78.00082,3.04054,-13.18895,13.18357,0.03791825,slider,id_00,abnormal
00000024.wav,2.124376,1.273298,1.469072,3.424665,15.54611,8.298958,9.793583,12.74994,27.55845,1.367157,9.180577,74.65857,2.391885,-25.2636,9.142853,0.02906431,slider,id_00,abnormal
00000025.wav,2.573047,1.529608,1.713126,3.664396,15.90068,8.829022,9.893461,12.57101,25.20692,1.271299,7.177322,74.90953,2.577652,-16.45714,12.60361,0.03441066,slider,id_00,abnormal
00000026.wav,4.208697,2.470205,2.644456,5.705985,16.26693,9.09051,10.15084,12.74518,25.56479,2.088124,13.7931,74.74801,3.097885,-16.7097,12.09316,0.03471877,slider,id_00,abnormal
00000027.wav,3.063022,1.834296,2.03844,4.571526,17.20382,9.396645,10.79948,13.77393,26.88249,1.284732,13.7378,73.64017,2.599875,-20.75734,10.72411,0.03176473,slider,id_00,abnormal
00000028.wav,4.661151,2.763482,3.020354,5.554269,17.17165,9.530973,10.93223,13.21747,25.68115,3.282636,13.45382,75.2008,3.19908,-16.83355,12.50185,0.03408851,slider,id_00,abnormal
00000029.wav,5.018238,2.985336,3.174336,5.896725,17.57146,9.747436,11.00416,13.71098,26.19128,3.448652,16.99847,74.52782,3.17581,-17.87556,10.76655,0.03491362,slider,id_00,abnormal
00000030.wav,5.634993,3.386857,3.484919,4.819367,19.0317,10.98647,11.8949,13.85541,25.17848,2.594582,11.33634,77.66517,3.231509,-13.32787,11.76669,0.03984927,slider,id_00,abnormal
00000031.wav,5.283209,3.116408,3.412638,5.497426,18.05692,10.1698,11.14915,13.54115,25.38135,3.541583,11.94816,75.21264,3.418178,-14.07047,12.03239,0.03830998,slider,id_00,abnormal
00000032.wav,5.226583,3.075282,3.296461,5.908534,18.6893,10.5474,11.61144,14.07763,26.91004,3.260029,19.03797,74.68354,3.240187,-14.4579,10.99871,0.03928253,slider,id_00,abnormal
00000033.wav,5.425364,3.232852,3.593023,6.400744,18.08775,9.998883,11.38906,13.85836,26.32456,2.54238,16.11675,74.02707,3.262173,-15.39387,12.97083,0.03525509,slider,id_00,abnormal
00000034.wav,5.356191,3.193072,3.363357,5.718652,17.35339,9.688234,10.85439,13.22769,24.82866,3.780867,12.6378,75.94488,3.399351,-12.22729,11.64046,0.04189756,slider,id_00,abnormal
00000035.wav,5.419159,3.227104,3.432749,5.84721,17.84643,10.08806,11.15247,13.33515,24.98418,3.462706,12.18175,76.65492,3.424543,-12.87286,11.9476,0.04028935,slider,id_00,abnormal
00000036.wav,3.497812,2.03937,2.214632,5.360512,16.05293,8.989629,9.916227,12.01947,23.28404,2.384847,6.901158,74.93321,2.932481,-14.51515,13.20597,0.03607357,slider,id_00,abnormal
00000037.wav,5.672857,3.417262,3.455286,5.276237,17.45827,9.941463,10.85784,12.7472,23.20128,3.040178,13.04854,78.71845,3.344561,-12.28222,12.48866,0.04036997,slider,id_00,abnormal
00000038.wav,5.562768,3.3529,3.376776,5.723282,18.76964,10.74462,11.56455,13.79438,25.83701,2.553315,14.04538,77.77778,3.289717,-12.76166,11.53807,0.04115272,slider,id_00,abnormal
00000039.wav,4.518089,2.635871,2.832409,4.497895,16.83266,9.681308,10.32044,12.4037,22.96825,2.138974,9.064327,75.06266,3.235161,-13.15513,13.35921,0.03771543,slider,id_00,abnormal
00000040.wav,5.401057,3.271383,3.314534,5.422754,17.80341,10.08659,11.1609,13.28055,24.94723,2.717671,11.75567,77.64118,3.07248,-13.23947,12.53905,0.03879198,slider,id_00,abnormal
00000041.wav,4.023068,2.340007,2.538919,4.206156,16.10939,9.191869,10.23965,11.93873,22.69383,2.897241,8.815299,75.65299,3.130149,-12.98858,12.56433,0.03913448,slider,id_00,abnormal
00000042.wav,2.748794,1.656702,1.825549,3.220565,15.64515,8.618388,9.804472,12.59724,24.85414,1.691251,9.54955,75.97598,2.442792,-17.83599,13.1842,0.03223707,slider,id_00,abnormal
00000043.wav,5.569829,3.302047,3.520402,5.587666,17.43562,9.843165,11.04513,12.96313,24.86824,3.707156,13.44801,75.64504,3.276538,-13.89485,12.3968,0.0380349,slider,id_00,abnormal
00000044.wav,4.520338,2.645721,2.807714,4.461219,17.5706,10.09187,10.8513,12.8656,23.58108,3.516629,7.408859,76.40141,3.283101,-11.62802,11.08426,0.04402904,slider,id_00,abnormal
00000045.wav,5.416839,3.247801,3.432936,5.855755,17.74303,10.01306,11.04296,13.11832,25.47297,3.155298,11.54876,77.17017,3.418662,-13.19998,11.50717,0.04047412,slider,id_00,abnormal
00000046.wav,4.644714,2.729551,2.880413,4.705731,17.1572,9.804825,10.5991,12.48052,22.82575,2.718993,8.92133,76.56123,3.147101,-11.11255,10.87399,0.04548236,slider,id_00,abnormal
00000047.wav,5.114528,3.060235,3.235659,6.144499,17.67712,9.747753,11.26259,13.79387,26.04312,3.087561,14.50604,76.94873,3.044639,-13.65238,12.22189,0.03864842,slider,id_00,abnormal
00000048.wav,4.721725,2.799653,3.084414,5.597587,17.40901,9.749772,11.01337,12.9592,24.0421,4.586245,10.11458,76.0964,3.334526,-12.02543,11.32945,0.0428176,slider,id_00,abnormal
00000049.wav,3.650252,2.218954,2.217003,3.469877,17.65219,10.19053,10.56727,12.47467,22.81685,2.426368,5.389686,79.02288,2.68345,-11.61657,12.69695,0.04112939,slider,id_00,abnormal
00000050.wav,5.742474,3.48331,3.654881,5.375731,18.47119,10.41254,11.6433,13.66449,25.15966,4.257445,16.27266,76.98976,3.257695,-11.94646,11.39207,0.0428476,slider,id_00,abnormal
00000051.wav,5.111942,3.021052,3.232047,4.735265,17.65234,10.0764,11.17839,12.8208,24.95055,3.411608,12.67319,75.71312,3.245163,-12.41287,11.50122,0.04181636,slider,id_00,abnormal
00000052.wav,5.033581,3.012876,3.092269,5.390496,17.58584,10.16524,10.81907,12.69246,23.96826,2.843881,11.80812,76.71177,3.111846,-13.13684,12.48392,0.03903085,slider,id_00,abnormal
00000053.wav,4.312512,2.591553,2.70288,3.624729,18.63621,10.85954,11.18114,13.15319,23.74178,1.951269,7.686365,78.40865,2.493909,-10.75206,11.31727,0.04531176,slider,id_00,abnormal
00000054.wav,3.295217,1.973801,2.09119,4.636418,16.6599,9.3377,10.31809,12.56545,24.71974,2.102549,7.293196,77.23935,2.697484,-13.21774,12.31964,0.03915827,slider,id_00,abnormal
00000055.wav,5.449998,3.274587,3.43347,4.889751,19.45697,11.3551,11.7043,13.73609,24.55866,4.241671,11.26709,77.39195,3.400345,-12.09883,11.13211,0.04304604,slider,id_00,abnormal
00000056.wav,5.657317,3.404528,3.451632,4.956802,18.65821,10.55016,11.58266,13.42738,24.60282,3.817034,12.55985,76.68508,3.325216,-11.42175,11.02985,0.04454025,slider,id_00,abnormal
00000057.wav,2.324026,1.400718,1.615256,3.178508,15.75642,8.750861,9.856694,12.62375,26.26651,1.240431,11.07143,75.21429,2.323416,-20.80905,10.06824,0.03238626,slider,id_00,abnormal
00000058.wav,5.610767,3.36322,3.644891,5.907392,18.56467,10.27935,12.00818,13.87518,26.35905,2.679328,15.1938,75.27132,3.165091,-15.14577,13.2439,0.03522409,slider,id_00,abnormal
00000059.wav,3.086612,1.868114,2.000668,3.447854,16.12813,9.06518,9.917209,12.633,24.99169,1.575873,10.59641,77.41749,2.468847,-16.37932,12.7262,0.03435774,slider,id_00,abnormal
00000060.wav,5.327059,3.15538,3.335228,4.549196,18.46457,10.54125,11.27586,13.12629,24.18587,3.944517,12.70333,75.91015,3.293867,-10.18012,9.86522,0.0498869,slider,id_00,abnormal
00000061.wav,5.305975,3.177293,3.321802,4.971672,18.58265,10.78531,11.38219,13.38748,24.09887,2.920291,12.05511,75.31573,3.315799,-11.36767,11.06064,0.04458651,slider,id_00,abnormal
00000062.wav,2.452167,1.446166,1.641988,3.33113,15.61409,8.421672,9.937108,13.12789,26.77035,1.483315,11.14413,70.35661,2.329673,-22.37871,8.055324,0.03285795,slider,id_00,abnormal
00000063.wav,5.143692,3.069457,3.337946,5.44736,17.51288,9.731811,11.10885,13.28173,25.13692,3.516509,14.40068,76.32359,3.344773,-12.16365,11.64735,0.0419974,slider,id_00,abnormal
00000064.wav,5.072775,3.027855,3.227172,5.28355,17.2787,9.647709,11.06592,13.15642,24.93145,2.887859,13.25404,76.29567,3.384951,-11.73719,10.7943,0.04438233,slider,id_00,abnormal
00000065.wav,4.357548,2.613829,2.681078,4.320108,17.91493,10.29956,10.66616,13.11133,24.22026,1.732167,10.16066,77.37733,2.945772,-10.9182,9.59449,0.04875031,slider,id_00,abnormal
00000066.wav,2.466505,1.481406,1.629695,2.82074,14.90612,7.932571,9.274836,12.63685,27.70265,1.17391,14.2632,73.52246,2.236527,-25.37582,7.316876,0.03058787,slider,id_00,abnormal
00000067.wav,4.241799,2.546053,2.647969,3.65639,17.13314,9.859837,10.51532,12.32701,22.15348,2.965356,5.927342,77.20841,3.081823,-12.48785,13.06073,0.03914112,slider,id_00,abnormal
00000068.wav,5.071911,3.041935,3.219195,4.534684,17.68761,9.917392,11.16434,13.09615,24.01895,3.472029,13.89125,77.27273,3.244405,-12.11874,10.8361,0.0435638,slider,id_00,abnormal
00000069.wav,4.035682,2.32207,2.598316,4.937105,15.43375,8.647184,9.93829,11.67485,22.28688,3.833018,7.364341,74.33247,3.223738,-13.26738,12.24019,0.03920404,slider,id_00,abnormal
00000070.wav,4.823775,2.871166,3.122695,5.131389,17.27708,9.674599,11.07945,13.16449,24.88793,3.483098,12.7734,75.15311,3.257242,-12.20183,11.41776,0.04233774,slider,id_00,abnormal
00000071.wav,4.663526,2.766579,2.921402,5.75512,16.30966,9.244151,10.18698,12.13144,23.66815,2.88762,11.02431,76.6059,3.288536,-14.19625,12.84352,0.03698256,slider,id_00,abnormal
00000072.wav,3.717917,2.192816,2.364577,4.29506,15.87645,8.94969,9.923703,12.15335,23.81106,2.033075,10.48513,74.85655,2.906841,-16.56125,12.95104,0.03388418,slider,id_00,abnormal
00000073.wav,5.086155,3.056458,3.162475,5.266561,17.41298,9.837564,10.83852,12.90795,24.25499,3.237504,12.9538,78.30033,3.318934,-12.5789,11.86222,0.04091465,slider,id_00,abnormal
00000074.wav,5.218114,3.108073,3.242581,5.701833,18.67461,10.69485,11.58046,13.33371,23.50509,3.634016,11.20459,75.94646,3.339798,-13.03618,12.14346,0.03971463,slider,id_00,abnormal
00000075.wav,5.734723,3.3999,3.815869,5.00424,18.71833,10.82137,11.89546,13.37687,24.34459,2.58498,15.13022,75.4444,3.114653,-9.054745,9.292004,0.05450557,slider,id_00,abnormal
00000076.wav,5.356172,3.199489,3.405158,4.939489,18.05744,10.27465,11.52032,13.56793,24.89285,3.555905,14.79464,76.11065,3.165725,-11.52732,10.93794,0.04451317,slider,id_00,abnormal
00000077.wav,5.39896,3.229155,3.359909,5.253837,17.91437,10.14135,11.07159,13.15227,24.24771,3.513642,12.95482,77.76889,3.337038,-11.53067,11.05547,0.04427492,slider,id_00,abnormal
00000078.wav,5.438375,3.232605,3.553106,5.698365,19.12825,10.82634,12.06294,14.68735,26.8644,2.880607,16.02929,74.12531,3.150186,-15.04237,12.54982,0.03624214,slider,id_00,abnormal
00000079.wav,5.384424,3.179234,3.430646,5.232824,18.67952,10.86296,11.22313,13.50904,24.5288,2.920812,12.21916,75.32519,3.367838,-12.89317,11.26086,0.04140095,slider,id_00,abnormal
00000080.wav,5.67479,3.491808,3.322604,4.787255,18.46749,10.76425,10.90141,13.11547,23.4007,2.621243,15.39404,79.8285,2.932925,-12.8593,12.09557,0.04007234,slider,id_00,abnormal
00000081.wav,5.694347,3.455607,3.481474,4.670658,19.40756,11.21618,12.08855,13.91064,24.48205,2.449471,12.1201,77.73709,3.191528,-11.69133,11.25657,0.04357697,slider,id_00,abnormal
00000082.wav,5.710113,3.460502,3.588092,5.592274,18.7411,10.72835,11.75133,13.64837,24.63499,3.800158,13.84906,78.07547,3.388831,-12.07783,11.33053,0.04271978,slider,id_00,abnormal
00000083.wav,5.673837,3.412913,3.581463,5.951767,19.52544,10.99433,12.16845,13.84046,25.32737,3.930661,14.21983,77.36357,3.37536,-12.64649,11.43291,0.04152927,slider,id_00,abnormal
00000084.wav,4.693677,2.813353,2.917234,4.544771,17.22531,9.785122,10.77503,12.53038,23.00334,1.930595,9.436275,76.59314,2.968708,-11.36212,10.62321,0.04548489,slider,id_00,abnormal
00000085.wav,5.333773,3.13027,3.416973,5.667829,18.45351,10.47271,11.58923,13.74358,24.42935,3.152584,12.43116,74.90165,3.388499,-12.29335,11.01093,0.04291058,slider,id_00,abnormal
00000086.wav,3.621035,2.177475,2.30946,3.924495,16.97157,9.716819,10.72127,12.57764,22.45022,2.009762,7.228916,77.28693,2.840191,-11.25334,11.52474,0.04390186,slider,id_00,abnormal
00000087.wav,5.174099,3.101255,3.227524,4.143404,17.7617,10.17172,10.84297,12.70287,22.95757,3.313733,12.48038,76.64835,3.291018,-10.36928,10.74514,0.04736099,slider,id_00,abnormal
00000088.wav,5.126631,3.034588,3.233756,4.848409,17.44809,9.92657,10.88749,13.01505,23.41525,2.893008,13.01678,75.68563,3.292363,-10.29257,9.874231,0.04958646,slider,id_00,abnormal
00000089.wav,4.620399,2.708928,2.913345,5.030136,16.76504,9.405342,10.48711,12.44318,23.75591,2.693895,8.641975,75.42812,3.213996,-12.53933,11.9445,0.04084328,slider,id_00,abnormal
00000090.wav,2.780602,1.697044,1.846958,3.75299,16.17144,8.930577,10.09519,12.68805,24.78645,2.154547,10.13682,75.06219,2.577595,-17.21865,10.77146,0.03572691,slider,id_00,abnormal
