filename,Jitter.local,Jitter.RAP,Jitter.PPQ5,Jitter.APQ55,Shimmer.local,Shimmer.APQ3,Shimmer.APQ5,Shimmer.APQ11,Shimmer.APQ55,PVI,PPF,DPF,PPE,Hp.mean.1,Hp.SD.1,RelHp.1,machine_type,machine_id,label
00000000.wav,8.697664,5.070818,5.695181,8.188387,22.56596,12.72124,14.60967,16.3938,20.60381,5.263946,15.97862,73.95307,4.206398,-22.59922,6.742141,0.03408158,slider,id_06,normal
00000001.wav,8.739278,5.213935,5.713143,8.280318,21.95502,12.14486,14.20208,16.68432,21.74304,5.700591,13.40629,76.03283,4.1828,-19.58465,6.961205,0.03767066,slider,id_06,normal
00000002.wav,8.423475,4.950606,5.379731,7.832498,20.29745,11.28902,12.96925,14.80689,19.6136,5.047286,14.16271,74.64371,4.12091,-19.23271,6.695787,0.0385676,slider,id_06,normal
00000003.wav,8.815655,5.196412,5.680587,8.130257,21.84553,12.30056,13.91016,15.90711,20.96349,4.545268,14.42632,74.35321,4.218099,-17.35704,7.025076,0.04101366,slider,id_06,normal
00000004.wav,8.64574,5.078172,5.693637,8.29259,22.44506,12.44042,14.72687,16.2666,20.20533,5.036963,13.12483,74.39263,4.204916,-20.16432,6.783709,0.03710847,slider,id_06,normal
00000005.wav,5.368277,3.163466,3.441689,6.211377,19.28485,10.79505,12.25667,14.45828,19.03566,5.034664,6.624204,76.43312,3.637037,-22.46058,7.522589,0.03335204,slider,id_06,normal
00000006.wav,8.274185,4.933968,5.522787,8.260703,21.71544,11.92047,13.87184,16.10673,22.80824,5.296313,12.6746,73.97827,4.359127,-21.59228,8.815919,0.03288587,slider,id_06,normal
00000007.wav,8.554391,5.076595,5.583652,8.075458,23.20706,13.14625,14.65703,16.92492,21.66025,5.067143,12.18301,74.61438,4.342446,-22.54878,7.741441,0.03301395,slider,id_06,normal
00000008.wav,8.856451,5.249072,5.739163,8.017224,21.69596,11.92009,14.10272,16.43006,21.46197,4.884975,14.44383,75.40122,4.295808,-20.06869,6.678335,0.03738733,slider,id_06,normal
00000009.wav,4.638045,2.777472,3.078164,5.173017,18.35009,10.18911,11.73159,13.85059,19.1196,3.311018,7.059241,78.00639,3.644977,-21.55948,7.743934,0.03412571,slider,id_06,normal
00000010.wav,8.418663,4.953441,5.552095,7.615792,21.80658,12.12848,14.14023,16.22253,20.78891,4.802668,9.668295,74.87786,4.313021,-18.64036,6.796862,0.03931247,slider,id_06,normal
00000011.wav,8.80985,5.306158,5.668737,7.483813,24.15943,13.54598,15.35388,17.19291,23.34139,4.26642,12.6605,76.9132,4.156449,-19.59555,7.128175,0.03741994,slider,id_06,normal
00000012.wav,9.119382,5.446514,5.993098,9.111741,21.70009,11.9816,14.30844,16.67581,22.1907,5.455517,24.49407,75.15701,4.123716,-15.61191,5.968594,0.04633812,slider,id_06,normal
00000013.wav,8.806037,5.173436,5.75657,8.246789,22.42921,12.62595,14.56384,16.46597,20.29036,5.42169,12.37946,74.38103,4.365962,-21.79036,6.929366,0.03481927,slider,id_06,normal
00000014.wav,8.830703,5.265836,5.598149,7.872397,21.89801,12.2141,14.12061,16.33489,20.75505,5.254397,10.89744,76.53846,4.407065,-20.10509,7.051388,0.03682363,slider,id_06,normal
00000015.wav,8.827311,5.30086,5.680984,7.207724,22.63875,12.69527,14.49479,16.81604,21.94802,3.567891,12.6145,76.62915,4.074993,-21.28918,6.983642,0.03536966,slider,id_06,normal
00000016.wav,9.035088,5.443236,5.674472,8.701215,23.20926,13.24517,15.10509,16.73775,21.46598,4.38286,19.39394,75.3748,4.161263,-19.74676,7.804415,0.03629609,slider,id_06,normal
00000017.wav,8.810948,5.193917,5.714906,8.203803,21.83423,12.14745,14.21218,16.062,21.14011,4.541395,16.91527,74.34368,4.24132,-18.77378,5.992594,0.04037733,slider,id_06,normal
00000018.wav,8.818844,5.247623,5.783436,7.30724,23.96063,13.64167,15.33344,16.89894,21.00215,4.178192,10.81283,76.06264,4.198592,-21.0371,6.92336,0.03576479,slider,id_06,normal
00000019.wav,8.461021,4.97112,5.553916,8.186879,21.63588,12.11709,13.84857,15.87571,20.26471,5.296347,10.64058,74.9665,4.298504,-21.08967,7.156723,0.03540275,slider,id_06,normal
00000020.wav,8.117396,4.678954,5.248129,7.435884,20.16663,11.48524,13.00713,14.25188,18.00568,4.611502,9.399333,73.69299,4.230306,-18.72491,6.712681,0.0393119,slider,id_06,normal
00000021.wav,8.278461,4.82148,5.368555,8.054631,21.05452,11.77987,13.70255,15.69808,20.09557,4.306018,13.08249,73.60347,4.213429,-18.96914,6.81223,0.0387877,slider,id_06,normal
00000022.wav,8.295845,4.937291,5.307508,6.479147,23.19958,13.03765,14.75868,16.63247,20.75465,3.185616,7.40649,76.39336,3.98538,-22.05307,6.883601,0.03455822,slider,id_06,normal
00000023.wav,9.381924,5.531498,6.012522,9.685874,22.67447,12.70693,14.85627,16.99136,22.26724,5.686113,24.47972,72.76896,4.145333,-13.99745,6.339578,0.0491714,slider,id_06,normal
00000024.wav,8.0026,4.694526,5.098007,7.778189,20.55372,11.56409,13.37731,15.03501,19.4102,5.052155,8.616472,75.31938,4.270634,-17.32512,7.128815,0.04089321,slider,id_06,normal
00000025.wav,4.829054,2.841199,3.19211,6.30553,18.15318,10.07143,11.76089,13.70594,20.09655,3.643027,10.6954,73.68849,3.474958,-24.91069,7.964398,0.03041817,slider,id_06,normal
00000026.wav,4.634866,2.77958,2.956637,5.73683,18.47682,10.13822,12.10455,14.16664,20.89282,3.567108,10.23819,77.18345,3.315339,-19.26904,7.263888,0.03768901,slider,id_06,normal
00000027.wav,4.468584,2.669918,2.915801,5.053828,17.66867,9.882482,11.44399,13.21058,18.07464,3.60821,10.19185,75.85931,3.402882,-22.54906,6.700265,0.03418883,slider,id_06,normal
00000028.wav,6.167848,3.683659,3.889547,5.740697,18.51505,10.1237,11.99031,14.54155,23.20508,4.818228,16.8726,75.75628,3.53604,-19.49813,6.789005,0.03804142,slider,id_06,normal
00000029.wav,8.474383,4.988195,5.467404,7.286798,23.13269,13.09717,14.92496,16.69455,20.70544,5.001733,9.395973,75.46607,4.260956,-19.37706,7.149341,0.03769829,slider,id_06,normal
00000030.wav,8.696154,5.170771,5.640253,8.091087,22.11029,12.58193,14.32837,16.26553,20.74221,5.202023,12.81081,75.91892,4.269814,-17.7101,6.601189,0.04113315,slider,id_06,normal
00000031.wav,2.218861,1.349337,1.546325,2.880653,14.55738,7.893795,9.323951,11.12086,24.94667,2.072289,14.27567,44.44444,2.015142,-22.12978,6.628158,0.034773,slider,id_06,normal
00000032.wav,8.055699,4.794242,5.134034,6.775107,22.45317,12.64441,14.4446,16.51789,21.08575,3.954812,7.598164,77.10352,4.215579,-19.6788,7.040618,0.03742596,slider,id_06,normal
00000033.wav,8.672766,5.15794,5.596695,7.666686,22.80826,12.76137,14.90175,17.03065,21.84922,4.258156,10.4527,76.34791,4.307378,-19.68144,6.742371,0.03784466,slider,id_06,normal
00000034.wav,9.232279,5.472369,5.894257,8.466842,23.1807,13.3133,14.58659,16.25451,20.53957,5.100317,16.20856,75.57382,4.271218,-14.90057,6.199841,0.04739245,slider,id_06,normal
00000035.wav,6.609958,3.843969,4.213333,6.167845,18.8951,10.64086,12.13687,13.85598,18.03468,4.619937,2.828025,76.12739,4.0335,-24.67392,9.616648,0.02916253,slider,id_06,normal
00000036.wav,9.335129,5.608809,6.052242,8.91069,24.51121,13.88231,15.78055,17.61663,21.68031,4.496206,21.538,74.55692,4.026911,-20.47804,7.078989,0.03628839,slider,id_06,normal
00000037.wav,9.065657,5.388084,5.847852,8.420411,20.98682,11.52915,13.69402,16.60916,21.60822,4.461362,26.47493,74.41003,3.921865,-14.84881,5.878118,0.04824641,slider,id_06,normal
