filename,Jitter.local,Jitter.RAP,Jitter.PPQ5,Jitter.APQ55,Shimmer.local,Shimmer.APQ3,Shimmer.APQ5,Shimmer.APQ11,Shimmer.APQ55,PVI,PPF,DPF,PPE,Hp.mean.1,Hp.SD.1,RelHp.1,machine_type,machine_id,label
00000000.wav,9.021898,5.352357,5.925213,8.235032,37.22028,21.91268,25.5605,29.03843,35.98509,4.60052,21.13076,74.60518,4.114214,-23.33401,5.837575,0.03427993,valve,id_04,abnormal
00000001.wav,7.206392,4.224749,4.550173,6.162961,30.63317,18.19753,23.40652,27.86881,33.82131,3.830515,12.56684,74.86631,3.698718,-23.43537,8.176079,0.03163411,valve,id_04,abnormal
00000002.wav,6.634142,4.008091,4.115098,5.72506,33.57636,20.04485,23.70003,27.27822,33.34922,2.084448,12.4912,78.21956,3.379907,-25.02199,6.520111,0.03170366,valve,id_04,abnormal
00000003.wav,9.376296,5.550153,6.046597,8.517736,38.08521,22.19039,26.81268,31.4666,38.03593,5.097545,17.74471,74.06983,4.23956,-25.53406,5.585683,0.03213394,valve,id_04,abnormal
00000004.wav,9.102042,5.409549,5.947722,8.170867,41.63073,24.4701,29.52478,34.12663,40.20869,3.87895,22.3301,74.14239,4.012432,-24.82233,5.908921,0.03254017,valve,id_04,abnormal
00000005.wav,4.093929,2.473358,2.648298,4.208964,28.96208,16.6793,20.90951,24.83486,30.92049,1.566461,8.027523,77.48471,2.457413,-28.47236,5.657037,0.02930025,valve,id_04,abnormal
00000006.wav,9.101986,5.34324,5.914209,7.923863,37.31989,21.74955,26.58343,30.50676,36.40741,4.068962,21.23331,73.87158,4.095719,-23.59162,4.969611,0.03501249,valve,id_04,abnormal
00000007.wav,8.955408,5.301195,5.776287,7.04742,39.39111,22.83403,29.30899,35.0352,41.30335,4.11375,26.74927,74.08892,3.823463,-21.69827,5.042111,0.03739662,valve,id_04,abnormal
00000008.wav,6.530444,3.922728,4.075003,5.445831,28.93173,16.59614,20.48858,23.54313,30.11543,2.257346,3.833567,79.17251,3.177167,-21.34682,5.471019,0.03728862,valve,id_04,abnormal
00000009.wav,3.703535,2.21202,2.421807,2.976508,30.3735,17.297,22.46005,27.56516,34.52019,1.212042,7.864203,77.43876,2.705831,-29.05884,5.775557,0.02870726,valve,id_04,abnormal
