filename,Jitter.local,Jitter.RAP,Jitter.PPQ5,Jitter.APQ55,Shimmer.local,Shimmer.APQ3,Shimmer.APQ5,Shimmer.APQ11,Shimmer.APQ55,PVI,PPF,DPF,PPE,Hp.mean.1,Hp.SD.1,RelHp.1,machine_type,machine_id,label
00000000.wav,9.519603,5.635825,6.430679,11.00654,44.95867,25.9963,30.62669,38.55224,52.37525,6.890464,31.24782,71.4785,4.279873,-24.12531,5.912375,0.03329152,valve,id_06,normal
00000001.wav,2.471868,1.501584,1.697841,3.021986,38.75757,21.70124,25.77273,36.31389,53.36987,1.156233,12.63823,75.98736,2.34111,-26.22429,7.214738,0.02990518,valve,id_06,normal
00000002.wav,9.438299,5.627125,5.987852,9.265754,39.19442,21.32639,26.88217,34.35118,47.44581,5.001041,25.48495,74.48161,4.271578,-26.10847,5.800918,0.03133874,valve,id_06,normal
00000003.wav,8.160608,4.836371,5.128279,7.969357,34.33191,18.6291,23.44175,30.29911,41.0687,4.149385,21.84557,74.95292,3.99254,-24.22484,6.683512,0.03235371,valve,id_06,normal
00000004.wav,9.078931,5.371227,5.838943,9.895024,37.16394,20.99297,25.80051,32.48703,45.82915,5.913391,17.28322,73.54247,4.419932,-27.26754,5.930081,0.03012264,valve,id_06,normal
00000005.wav,10.48575,6.277841,6.766269,11.30574,46.25536,26.50977,31.2604,39.32166,51.90117,9.364368,30.29917,72.50159,4.586529,-27.73045,5.731826,0.0298844,valve,id_06,normal
00000006.wav,8.192394,4.756053,5.160848,7.713288,29.64677,16.33787,20.10553,24.7547,33.07385,4.915542,19.13408,73.00978,4.032857,-24.34014,5.105383,0.03396102,valve,id_06,normal
00000007.wav,9.083836,5.325807,5.762885,8.712139,35.44569,19.7182,23.75236,28.23582,38.73275,5.393812,26.07926,72.29299,4.11714,-22.70511,6.025802,0.03480572,valve,id_06,normal
00000008.wav,9.34778,5.54323,6.049047,9.113728,35.28388,19.30142,24.26796,31.29718,44.26775,5.801453,19.61302,74.31838,4.437628,-27.22582,5.313594,0.03073196,valve,id_06,normal
00000009.wav,4.148968,2.425118,2.642291,4.459337,33.06788,17.8662,22.13825,28.49508,40.63922,2.139192,17.03395,73.19833,3.17747,-13.10824,5.239675,0.05450209,valve,id_06,normal
00000010.wav,8.845161,5.177887,5.65061,9.08606,35.33134,20.04528,23.08148,29.82226,39.61009,5.78505,27.59018,73.63776,4.093332,-25.63971,6.332464,0.03127719,valve,id_06,normal
00000011.wav,9.316631,5.551809,5.915469,8.881171,36.95487,20.28502,24.6338,33.53646,47.3754,4.638,30.11554,74.09616,4.111477,-28.75371,6.253873,0.02856524,valve,id_06,normal
00000012.wav,9.494077,5.578349,6.01572,9.267554,38.7949,22.14463,26.09224,35.18466,49.4847,4.880242,25.08186,72.88802,4.294111,-30.59549,6.435357,0.02700451,valve,id_06,normal
00000013.wav,6.767157,4.059774,4.263114,4.533461,30.83491,17.36393,20.79181,27.03172,37.26575,1.063143,2.82748,78.70554,2.488569,-29.62179,5.95248,0.0281102,valve,id_06,normal
00000014.wav,3.997875,2.436406,2.688679,4.532493,35.62011,19.28187,24.0967,35.54288,51.77203,1.240776,26.84564,73.97465,2.259847,-25.69754,6.795588,0.03077574,valve,id_06,normal
00000015.wav,6.339011,3.643474,3.945073,6.685896,29.31835,16.81293,19.16229,25.15256,32.9259,3.627826,16.99201,72.31588,3.756971,-33.40883,7.941893,0.02418338,valve,id_06,normal
00000016.wav,9.833173,5.984066,6.158278,7.691049,38.42146,21.31253,26.0208,32.16392,43.31741,4.280781,17.07751,77.68742,4.130105,-25.01762,7.624479,0.03063529,valve,id_06,normal
00000017.wav,9.417295,5.563816,6.07634,8.757746,36.83436,20.3761,24.97634,31.57773,42.35745,5.21649,21.98692,74.24478,4.276882,-27.79741,5.723776,0.02983188,valve,id_06,normal
00000018.wav,3.984788,2.392361,2.686407,4.675548,41.84519,23.12341,27.8871,36.67308,45.32527,1.05505,24.98184,75.74437,2.626405,-20.6762,5.823714,0.03773596,valve,id_06,normal
00000019.wav,9.351801,5.564013,6.015363,8.644205,38.15955,20.80899,26.07983,33.04915,45.05608,5.372805,24.81252,74.30714,4.221975,-24.28176,5.979344,0.03304572,valve,id_06,normal
00000020.wav,9.498577,5.650711,6.005222,9.484404,37.65321,20.89503,25.91313,32.98536,42.15952,5.521036,19.45362,74.81237,4.339803,-25.11151,5.236651,0.03295092,valve,id_06,normal
00000021.wav,7.110706,4.26422,4.464631,6.1163,34.83652,19.04596,24.12872,32.45094,43.98318,2.857653,13.70207,77.18416,2.971368,-27.59847,6.540733,0.02929184,valve,id_06,normal
00000022.wav,5.319093,3.103714,3.386128,5.967793,38.92713,20.79321,27.86728,36.43951,47.97019,2.571157,19.13947,73.98615,3.469981,-24.31982,7.290007,0.03163573,valve,id_06,normal
00000023.wav,5.847707,3.506936,3.667543,4.345964,29.63777,16.12627,20.83621,26.46566,37.50599,1.241062,3.691361,79.05665,2.818021,-24.90713,5.508475,0.03287786,valve,id_06,normal
00000024.wav,10.2751,6.273138,6.84522,8.735198,45.92859,25.06727,31.51905,39.92303,55.78021,3.683462,26.32304,77.83903,4.282389,-26.00425,6.381953,0.03087735,valve,id_06,normal
00000025.wav,9.409108,5.521171,6.110582,9.442065,41.41187,23.50925,28.77199,35.31067,50.03521,5.368949,21.56033,72.69428,4.343081,-25.92112,5.81445,0.03151039,valve,id_06,normal
00000026.wav,9.483809,5.641063,6.065068,8.364477,38.23583,21.13448,26.66955,31.94605,45.20218,4.639841,27.40515,74.49187,4.183255,-24.24619,5.311565,0.03383207,valve,id_06,normal
00000027.wav,9.672824,5.783797,6.421071,9.805336,43.43738,23.5138,31.42631,38.47939,52.12169,4.887554,36.90476,71.66667,4.105279,-23.31925,5.763461,0.03438469,valve,id_06,normal
00000028.wav,9.524737,5.711681,5.959573,8.580273,41.02377,23.15217,27.86576,34.56605,48.38424,5.304763,27.41047,75.03444,4.201441,-28.58093,5.68612,0.02918255,valve,id_06,normal
