filename,Jitter.local,Jitter.RAP,Jitter.PPQ5,Jitter.APQ55,Shimmer.local,Shimmer.APQ3,Shimmer.APQ5,Shimmer.APQ11,Shimmer.APQ55,PVI,PPF,DPF,PPE,Hp.mean.1,Hp.SD.1,RelHp.1
00000000.wav,7.742105e+00,4.546507e+00,4.789382e+00,6.369649e+00,1.998549e+01,1.156588e+01,1.266292e+01,1.356433e+01,1.451360e+01,2.276608e+00,3.061510e+01,7.381174e+01,3.486626e+00,-1.304385e+01,6.171151e+00,5.204266e-02
00000001.wav,7.094249e+00,4.143100e+00,4.511022e+00,6.185808e+00,2.244597e+01,1.277815e+01,1.444446e+01,1.562460e+01,1.676896e+01,3.366926e+00,1.112557e+01,7.491867e+01,3.778321e+00,-1.468348e+01,6.164664e+00,4.796591e-02
00000002.wav,6.877730e+00,4.061061e+00,4.356584e+00,5.624851e+00,2.121662e+01,1.223825e+01,1.357651e+01,1.445730e+01,1.549184e+01,3.459584e+00,1.951817e+01,7.558187e+01,3.414770e+00,-1.288141e+01,6.123294e+00,5.261855e-02
00000003.wav,8.021706e+00,4.666473e+00,5.188904e+00,7.147625e+00,2.232546e+01,1.288158e+01,1.435372e+01,1.526103e+01,1.623203e+01,4.845815e+00,1.269841e+01,7.472527e+01,4.001241e+00,-1.098114e+01,5.615563e+00,6.025293e-02
00000004.wav,7.640017e+00,4.506452e+00,4.839721e+00,6.086831e+00,2.221199e+01,1.280279e+01,1.416345e+01,1.548275e+01,1.641848e+01,3.394154e+00,1.183099e+01,7.596244e+01,3.808522e+00,-1.245114e+01,5.509280e+00,5.567797e-02
00000005.wav,6.866427e+00,3.982743e+00,4.403564e+00,6.211919e+00,1.911943e+01,1.081653e+01,1.245031e+01,1.320554e+01,1.403850e+01,2.602740e+00,3.257365e+01,7.159533e+01,3.277073e+00,-1.300207e+01,5.940662e+00,5.279070e-02
00000006.wav,8.110249e+00,4.709998e+00,5.172848e+00,7.321238e+00,2.256883e+01,1.283735e+01,1.452788e+01,1.559048e+01,1.650831e+01,4.616548e+00,1.677898e+01,7.321429e+01,3.925947e+00,-1.143008e+01,5.796077e+00,5.805125e-02
00000007.wav,8.289101e+00,4.860097e+00,5.296036e+00,7.302914e+00,2.320144e+01,1.327301e+01,1.515646e+01,1.622524e+01,1.724442e+01,4.221556e+00,1.577616e+01,7.417009e+01,3.947171e+00,-1.079449e+01,5.900993e+00,5.989643e-02
00000008.wav,8.217923e+00,4.799996e+00,5.288853e+00,7.101773e+00,2.367384e+01,1.360002e+01,1.504131e+01,1.616533e+01,1.688910e+01,4.253334e+00,1.393293e+01,7.396341e+01,3.964550e+00,-1.096347e+01,5.678547e+00,6.008887e-02
00000009.wav,7.328742e+00,4.298033e+00,4.638043e+00,6.262164e+00,1.966186e+01,1.114588e+01,1.261059e+01,1.366012e+01,1.437099e+01,2.236793e+00,3.288452e+01,7.338167e+01,3.245622e+00,-1.388505e+01,6.505034e+00,4.904345e-02
