filename,Jitter.local,Jitter.RAP,Jitter.PPQ5,Jitter.APQ55,Shimmer.local,Shimmer.APQ3,Shimmer.APQ5,Shimmer.APQ11,Shimmer.APQ55,PVI,PPF,DPF,PPE,Hp.mean.1,Hp.SD.1,RelHp.1
00000000.wav,7.930974e+00,4.664647e+00,5.033272e+00,7.363420e+00,2.185345e+01,1.259168e+01,1.374902e+01,1.521100e+01,1.594878e+01,4.597812e+00,1.952278e+01,7.480116e+01,3.921267e+00,-1.123732e+01,5.339934e+00,6.032362e-02
00000001.wav,9.312310e+00,5.496729e+00,6.024295e+00,8.089337e+00,2.620859e+01,1.502385e+01,1.652329e+01,1.782355e+01,1.897508e+01,4.650286e+00,2.399226e+01,7.362141e+01,4.123502e+00,-1.251312e+01,6.183060e+00,5.348687e-02
00000002.wav,9.534181e+00,5.644080e+00,6.157940e+00,8.226379e+00,2.726488e+01,1.547249e+01,1.749744e+01,1.902220e+01,2.000907e+01,4.361270e+00,2.133614e+01,7.342763e+01,4.158272e+00,-1.328336e+01,6.153524e+00,5.144858e-02
00000003.wav,9.292624e+00,5.494170e+00,5.958440e+00,8.047802e+00,2.704038e+01,1.557070e+01,1.721071e+01,1.840036e+01,1.937275e+01,4.247138e+00,2.641444e+01,7.455745e+01,4.046277e+00,-9.362171e+00,5.357174e+00,6.793781e-02
00000004.wav,7.118403e+00,4.100091e+00,4.479494e+00,6.551448e+00,1.942300e+01,1.130346e+01,1.203021e+01,1.323026e+01,1.402546e+01,4.734956e+00,1.220870e+01,7.380870e+01,3.973068e+00,-1.627235e+01,6.450620e+00,4.400834e-02
00000005.wav,9.293272e+00,5.475720e+00,6.023839e+00,8.366396e+00,2.712031e+01,1.562324e+01,1.706858e+01,1.881494e+01,2.003270e+01,4.902066e+00,2.035161e+01,7.482122e+01,4.207611e+00,-1.199061e+01,6.453819e+00,5.421692e-02
00000006.wav,8.309154e+00,4.894954e+00,5.408154e+00,6.564741e+00,2.194308e+01,1.251116e+01,1.426022e+01,1.548079e+01,1.643842e+01,3.498190e+00,2.733842e+01,7.310317e+01,3.695028e+00,-1.286117e+01,5.837469e+00,5.347983e-02
00000007.wav,5.001038e+00,2.978020e+00,3.233270e+00,3.379470e+00,1.979679e+01,1.144787e+01,1.237710e+01,1.382338e+01,1.506627e+01,1.514111e+00,2.577808e+01,7.334235e+01,3.007699e+00,-1.187078e+01,4.462527e+00,6.122461e-02
00000008.wav,9.766872e+00,5.875776e+00,6.338309e+00,7.946260e+00,3.016779e+01,1.747982e+01,1.897537e+01,2.022671e+01,2.168112e+01,3.815858e+00,2.219994e+01,7.585219e+01,4.011929e+00,-1.203821e+01,5.588488e+00,5.673212e-02
00000009.wav,8.677414e+00,5.106349e+00,5.590553e+00,7.744380e+00,2.333541e+01,1.352573e+01,1.474007e+01,1.591817e+01,1.687489e+01,4.813937e+00,2.100271e+01,7.361111e+01,4.080215e+00,-1.124470e+01,5.734075e+00,5.889708e-02
00000010.wav,9.004324e+00,5.304901e+00,5.906593e+00,7.681466e+00,2.567558e+01,1.477663e+01,1.623993e+01,1.793435e+01,1.872391e+01,3.337220e+00,3.182001e+01,7.352350e+01,3.626067e+00,-1.223440e+01,6.596811e+00,5.310332e-02
00000011.wav,9.782580e+00,5.874374e+00,6.424264e+00,7.908334e+00,3.005897e+01,1.742093e+01,1.915753e+01,2.065463e+01,2.167924e+01,3.444100e+00,2.406037e+01,7.593963e+01,3.978837e+00,-1.261642e+01,5.239134e+00,5.600498e-02
00000012.wav,8.854035e+00,5.217847e+00,5.683213e+00,7.825076e+00,2.412453e+01,1.369248e+01,1.557649e+01,1.640569e+01,1.721487e+01,3.379344e+00,3.934666e+01,7.279376e+01,3.599483e+00,-1.197282e+01,6.304450e+00,5.471278e-02
00000013.wav,8.782329e+00,5.157706e+00,5.798530e+00,7.944661e+00,2.727195e+01,1.556017e+01,1.746492e+01,1.893313e+01,2.023421e+01,4.167207e+00,2.011421e+01,7.401650e+01,4.101832e+00,-1.097409e+01,5.779945e+00,5.968711e-02
00000014.wav,8.954514e+00,5.229784e+00,5.780962e+00,8.309936e+00,2.686691e+01,1.545572e+01,1.703399e+01,1.815957e+01,1.926111e+01,4.586927e+00,2.408859e+01,7.226576e+01,4.024204e+00,-1.083230e+01,5.930794e+00,5.965485e-02
00000015.wav,9.233253e+00,5.473791e+00,6.095826e+00,7.989179e+00,2.826101e+01,1.636816e+01,1.779459e+01,1.929455e+01,2.058826e+01,3.627248e+00,2.311277e+01,7.418453e+01,4.056457e+00,-1.241687e+01,5.605959e+00,5.548518e-02
00000016.wav,5.357858e+00,3.264845e+00,3.626346e+00,4.548204e+00,1.806028e+01,1.019365e+01,1.162692e+01,1.299633e+01,1.487978e+01,1.664625e+00,3.483226e+01,7.487509e+01,2.759233e+00,-1.468434e+01,5.285572e+00,5.007534e-02
00000017.wav,8.938394e+00,5.267371e+00,5.700168e+00,8.291062e+00,2.467054e+01,1.413154e+01,1.582517e+01,1.703443e+01,1.784873e+01,5.808256e+00,1.707101e+01,7.532544e+01,4.230186e+00,-1.093137e+01,5.732629e+00,6.000961e-02
00000018.wav,9.298757e+00,5.535045e+00,5.998760e+00,7.789050e+00,2.814055e+01,1.628512e+01,1.766993e+01,1.914801e+01,2.058989e+01,2.679844e+00,2.125382e+01,7.556575e+01,3.808071e+00,-1.534186e+01,5.783904e+00,4.733556e-02
00000019.wav,9.221407e+00,5.451365e+00,6.047447e+00,8.193722e+00,2.786853e+01,1.611121e+01,1.777304e+01,1.943564e+01,2.023940e+01,4.256743e+00,2.028725e+01,7.456613e+01,4.148525e+00,-1.217707e+01,5.743733e+00,5.580108e-02
00000020.wav,1.002179e+01,6.065753e+00,6.569734e+00,8.043614e+00,3.061577e+01,1.766490e+01,1.954200e+01,2.062840e+01,2.189390e+01,3.847972e+00,2.343262e+01,7.602837e+01,4.044412e+00,-1.103996e+01,5.537643e+00,6.032236e-02
00000021.wav,9.285216e+00,5.506076e+00,6.020941e+00,8.030221e+00,2.763892e+01,1.607571e+01,1.755250e+01,1.897073e+01,1.982589e+01,4.895862e+00,1.775114e+01,7.548516e+01,4.190271e+00,-1.225286e+01,5.643096e+00,5.587854e-02
00000022.wav,8.666876e+00,5.119880e+00,5.531098e+00,7.591232e+00,2.422437e+01,1.387636e+01,1.548039e+01,1.637239e+01,1.738192e+01,4.397301e+00,1.788038e+01,7.502324e+01,4.131058e+00,-1.235365e+01,5.753303e+00,5.522739e-02
00000023.wav,7.277292e+00,4.364415e+00,4.501882e+00,5.428194e+00,2.339148e+01,1.340652e+01,1.496578e+01,1.623182e+01,1.757932e+01,2.480814e+00,1.071640e+01,7.735346e+01,3.703107e+00,-1.697972e+01,5.595640e+00,4.429608e-02
00000024.wav,9.155599e+00,5.417436e+00,5.882116e+00,7.898375e+00,2.554251e+01,1.457807e+01,1.615867e+01,1.745591e+01,1.848663e+01,4.241020e+00,2.212361e+01,7.442155e+01,4.056257e+00,-1.197490e+01,5.553155e+00,5.705138e-02
00000025.wav,5.612901e+00,3.361133e+00,3.746359e+00,5.357139e+00,1.798833e+01,1.018326e+01,1.152867e+01,1.291022e+01,1.417118e+01,2.012851e+00,3.438395e+01,7.392550e+01,2.949820e+00,-1.335259e+01,5.317881e+00,5.356051e-02
