filename,Jitter.local,Jitter.RAP,Jitter.PPQ5,Jitter.APQ55,Shimmer.local,Shimmer.APQ3,Shimmer.APQ5,Shimmer.APQ11,Shimmer.APQ55,PVI,PPF,DPF,PPE,Hp.mean.1,Hp.SD.1,RelHp.1
00000000.wav,8.077734e+00,4.747599e+00,5.242791e+00,7.110101e+00,2.607132e+01,1.497609e+01,1.690046e+01,1.797760e+01,1.958087e+01,3.984772e+00,1.529486e+01,7.489751e+01,3.826814e+00,-1.158990e+01,5.547822e+00,5.835081e-02
00000001.wav,8.127427e+00,4.836098e+00,5.174737e+00,7.551194e+00,2.464426e+01,1.411566e+01,1.596028e+01,1.705744e+01,1.931145e+01,4.123141e+00,2.229175e+01,7.504889e+01,3.701966e+00,-1.192753e+01,5.470955e+00,5.747626e-02
00000002.wav,8.582741e+00,5.059193e+00,5.496734e+00,6.900714e+00,2.455624e+01,1.404671e+01,1.587746e+01,1.696444e+01,1.865114e+01,3.200032e+00,1.978927e+01,7.546921e+01,3.851864e+00,-1.334604e+01,5.607507e+00,5.276059e-02
00000003.wav,7.184512e+00,4.279137e+00,4.603132e+00,5.970203e+00,2.133221e+01,1.225623e+01,1.378402e+01,1.498958e+01,1.659619e+01,2.714397e+00,2.480469e+01,7.470703e+01,3.271426e+00,-1.767390e+01,6.618421e+00,4.116527e-02
00000004.wav,8.039037e+00,4.738116e+00,5.090977e+00,7.227839e+00,2.297060e+01,1.315277e+01,1.462769e+01,1.610560e+01,1.777028e+01,4.205259e+00,2.421434e+01,7.461724e+01,3.688580e+00,-1.864386e+01,5.327221e+00,4.171694e-02
00000005.wav,6.834256e+00,4.037902e+00,4.307732e+00,5.606217e+00,1.911307e+01,1.089077e+01,1.225083e+01,1.360712e+01,1.540093e+01,2.104388e+00,3.718104e+01,7.399757e+01,3.173873e+00,-1.033777e+01,5.229771e+00,6.423621e-02
00000006.wav,6.271991e+00,3.737242e+00,4.001199e+00,5.349763e+00,2.108292e+01,1.208421e+01,1.342993e+01,1.462432e+01,1.667015e+01,2.802170e+00,1.600491e+01,7.715923e+01,3.196075e+00,-1.569560e+01,5.716457e+00,4.670267e-02
00000007.wav,8.305285e+00,4.835170e+00,5.306244e+00,7.846472e+00,2.642347e+01,1.522225e+01,1.709260e+01,1.859335e+01,2.076424e+01,5.057896e+00,1.276783e+01,7.308483e+01,4.025935e+00,-1.797023e+01,5.666524e+00,4.230699e-02
00000008.wav,8.396479e+00,4.933935e+00,5.443953e+00,7.307294e+00,2.522249e+01,1.428396e+01,1.648244e+01,1.788969e+01,1.985196e+01,3.266075e+00,1.766409e+01,7.451737e+01,3.787492e+00,-1.263525e+01,5.526044e+00,5.506215e-02
00000009.wav,8.087822e+00,4.761905e+00,5.052001e+00,6.810990e+00,2.563255e+01,1.459866e+01,1.644670e+01,1.801212e+01,2.092779e+01,3.701562e+00,1.647332e+01,7.543918e+01,3.735878e+00,-1.827868e+01,5.612047e+00,4.185725e-02
00000010.wav,8.058478e+00,4.758049e+00,5.112533e+00,6.646187e+00,2.309386e+01,1.299359e+01,1.510372e+01,1.643224e+01,1.803825e+01,3.990939e+00,1.690095e+01,7.600523e+01,3.853065e+00,-1.589070e+01,5.922636e+00,4.584352e-02
00000011.wav,8.377720e+00,4.900072e+00,5.316037e+00,7.724165e+00,2.522701e+01,1.441378e+01,1.639781e+01,1.758935e+01,1.942626e+01,4.433931e+00,1.702464e+01,7.340493e+01,3.875172e+00,-1.791707e+01,5.484340e+00,4.273247e-02
00000012.wav,5.059287e+00,3.095322e+00,3.299148e+00,3.412254e+00,1.602567e+01,9.060221e+00,1.004677e+01,1.137235e+01,1.263665e+01,6.092798e-01,4.659207e+01,7.639878e+01,2.263765e+00,-1.135690e+01,5.127881e+00,6.066200e-02
00000013.wav,7.745861e+00,4.576066e+00,5.027452e+00,6.307167e+00,2.425572e+01,1.371184e+01,1.591020e+01,1.679815e+01,1.822008e+01,2.875768e+00,1.120980e+01,7.482389e+01,3.651570e+00,-1.816362e+01,5.519735e+00,4.222376e-02
00000014.wav,8.421949e+00,4.939038e+00,5.363421e+00,7.358939e+00,2.467895e+01,1.408157e+01,1.605642e+01,1.718246e+01,1.890877e+01,4.133631e+00,1.650144e+01,7.454429e+01,3.882092e+00,-1.800852e+01,5.266581e+00,4.296438e-02
00000015.wav,8.122754e+00,4.790700e+00,5.157769e+00,7.416618e+00,2.490554e+01,1.418885e+01,1.600186e+01,1.709532e+01,1.899074e+01,4.361406e+00,1.469600e+01,7.516040e+01,3.940935e+00,-1.347392e+01,6.098353e+00,5.109270e-02
00000016.wav,8.321443e+00,4.910200e+00,5.323777e+00,7.260651e+00,2.405645e+01,1.366316e+01,1.561531e+01,1.685249e+01,1.907132e+01,3.784863e+00,2.005393e+01,7.384564e+01,3.791417e+00,-1.294581e+01,5.276884e+00,5.487664e-02
