filename,Jitter.local,Jitter.RAP,Jitter.PPQ5,Jitter.APQ55,Shimmer.local,Shimmer.APQ3,Shimmer.APQ5,Shimmer.APQ11,Shimmer.APQ55,PVI,PPF,DPF,PPE,Hp.mean.1,Hp.SD.1,RelHp.1
00000000.wav,4.854470e+00,2.965078e+00,3.235549e+00,3.555961e+00,1.331735e+01,7.696249e+00,8.468729e+00,8.961613e+00,9.392800e+00,4.606370e-01,2.788260e+01,7.847659e+01,2.238335e+00,-9.930913e+00,6.206363e+00,6.196833e-02
00000001.wav,2.747747e+00,1.672747e+00,1.806344e+00,1.849956e+00,1.372355e+01,7.915133e+00,8.864326e+00,9.218198e+00,9.919014e+00,3.528107e-01,1.105010e+01,7.824296e+01,1.983669e+00,-1.215989e+01,4.828322e+00,5.886435e-02
00000002.wav,2.798458e+00,1.716778e+00,1.798741e+00,1.847253e+00,1.411605e+01,8.063868e+00,9.070322e+00,9.686919e+00,9.881405e+00,4.024698e-01,8.752584e+00,8.084080e+01,2.094495e+00,-1.078626e+01,5.137132e+00,6.280069e-02
00000003.wav,2.656030e+00,1.618987e+00,1.670833e+00,1.791274e+00,1.385782e+01,7.893168e+00,8.930099e+00,9.242536e+00,9.592239e+00,4.440871e-01,7.544582e+00,7.743484e+01,2.114528e+00,-1.084904e+01,5.648911e+00,6.061360e-02
00000004.wav,3.353367e+00,2.018136e+00,2.149710e+00,2.777874e+00,1.341556e+01,7.651687e+00,8.897308e+00,9.257308e+00,9.493428e+00,6.439599e-01,1.406138e+01,7.658815e+01,2.337634e+00,-1.333095e+01,6.491225e+00,5.044854e-02
00000005.wav,3.738971e+00,2.248826e+00,2.478181e+00,2.629880e+00,1.173549e+01,6.831199e+00,7.490087e+00,8.169835e+00,8.539717e+00,7.558852e-01,3.575419e+01,7.150838e+01,2.222140e+00,-1.261741e+01,5.807706e+00,5.427376e-02
00000006.wav,4.131627e+00,2.484073e+00,2.667522e+00,2.796879e+00,1.423331e+01,8.242027e+00,8.999905e+00,9.523631e+00,1.002472e+01,6.161919e-01,1.954420e+01,7.548343e+01,2.289887e+00,-1.282203e+01,5.073028e+00,5.588135e-02
00000007.wav,4.814910e+00,2.906806e+00,3.031190e+00,3.321732e+00,1.431341e+01,8.285380e+00,9.026541e+00,9.715844e+00,9.961858e+00,3.615364e-01,2.465659e+01,7.781593e+01,2.038406e+00,-1.072681e+01,5.538880e+00,6.147912e-02
00000008.wav,3.421291e+00,2.095087e+00,2.196955e+00,2.212907e+00,1.460265e+01,8.457211e+00,9.251897e+00,9.733394e+00,9.970707e+00,4.393845e-01,1.565517e+01,7.675862e+01,2.141441e+00,-1.306669e+01,5.265548e+00,5.454872e-02
00000009.wav,4.728379e+00,2.880551e+00,3.022754e+00,3.275517e+00,1.380811e+01,7.843259e+00,8.830756e+00,9.591776e+00,9.875290e+00,4.484815e-01,2.597938e+01,7.869416e+01,2.092299e+00,-1.137424e+01,6.065559e+00,5.734012e-02
00000010.wav,5.315763e+00,3.203451e+00,3.456800e+00,3.646740e+00,1.520364e+01,8.697595e+00,9.771271e+00,1.020462e+01,1.085946e+01,6.334446e-01,3.636947e+01,7.543297e+01,2.362319e+00,-9.111991e+00,5.320457e+00,6.928831e-02
00000011.wav,4.204770e+00,2.584177e+00,3.007678e+00,3.673301e+00,1.206937e+01,6.864323e+00,7.554588e+00,8.460323e+00,8.930397e+00,3.164747e-01,4.451697e+01,7.062663e+01,1.818843e+00,-1.070015e+01,4.839593e+00,6.435111e-02
00000012.wav,5.377510e+00,3.208956e+00,3.568069e+00,4.413026e+00,1.436216e+01,8.258464e+00,9.160820e+00,9.571582e+00,1.011227e+01,9.670582e-01,3.220443e+01,7.401478e+01,2.647897e+00,-2.173925e+01,8.267155e+00,3.332622e-02
00000013.wav,3.756219e+00,2.242352e+00,2.592868e+00,2.844253e+00,1.217089e+01,6.900472e+00,7.781304e+00,8.596300e+00,9.234096e+00,6.207300e-01,3.783469e+01,7.310827e+01,2.029863e+00,-2.261057e+01,5.384724e+00,3.572029e-02
00000014.wav,5.879411e+00,3.483905e+00,3.877320e+00,4.321206e+00,1.611590e+01,9.171952e+00,1.016460e+01,1.076215e+01,1.135967e+01,1.302414e+00,3.019499e+01,7.264624e+01,2.644271e+00,-1.075887e+01,5.729596e+00,6.064845e-02
00000015.wav,4.861267e+00,2.926026e+00,3.121061e+00,3.644625e+00,1.237638e+01,7.129438e+00,7.729614e+00,8.586290e+00,8.940308e+00,7.225459e-01,4.681818e+01,7.159091e+01,2.201544e+00,-1.855634e+01,6.263321e+00,4.029064e-02
00000016.wav,4.817330e+00,2.839728e+00,3.175945e+00,3.863261e+00,1.419737e+01,8.164451e+00,9.034354e+00,9.789051e+00,1.030766e+01,1.685742e+00,2.132728e+01,7.419172e+01,2.536885e+00,-1.677594e+01,5.938045e+00,4.402575e-02
00000017.wav,3.251758e+00,1.932619e+00,2.131649e+00,2.257923e+00,1.348022e+01,7.631087e+00,8.618466e+00,9.257868e+00,1.009880e+01,5.223088e-01,1.479140e+01,7.351454e+01,2.411912e+00,-4.241712e+00,1.597710e+00,1.712498e-01
00000018.wav,5.553392e+00,3.287241e+00,3.674047e+00,4.012458e+00,1.482186e+01,8.497954e+00,9.374490e+00,9.991427e+00,1.036925e+01,5.668717e-01,3.511254e+01,7.363344e+01,2.489522e+00,-9.150245e+00,5.435644e+00,6.855941e-02
00000019.wav,3.566806e+00,2.111675e+00,2.284840e+00,2.395555e+00,1.359019e+01,7.670224e+00,8.858330e+00,9.756955e+00,1.019280e+01,7.262627e-01,1.567498e+01,7.472809e+01,2.611455e+00,-7.294304e+00,2.429299e+00,1.028425e-01
00000020.wav,1.951798e+00,1.235408e+00,1.284786e+00,1.223277e+00,1.422835e+01,8.082187e+00,9.049306e+00,9.934540e+00,1.105403e+01,2.591843e-01,1.036852e+01,7.564022e+01,1.699864e+00,-1.396744e+01,5.248594e+00,5.203988e-02
00000021.wav,2.567943e+00,1.582525e+00,1.723021e+00,1.719739e+00,1.474434e+01,8.425341e+00,9.477089e+00,1.021727e+01,1.103410e+01,2.561415e-01,1.354037e+01,7.546584e+01,1.758979e+00,-1.428876e+01,5.603016e+00,5.027202e-02
00000022.wav,4.506665e+00,2.744452e+00,2.914835e+00,3.056737e+00,1.434328e+01,8.250820e+00,9.183377e+00,1.020918e+01,1.091253e+01,3.739760e-01,2.559449e+01,7.603254e+01,1.986750e+00,-1.684582e+01,5.485791e+00,4.477957e-02
00000023.wav,4.867648e+00,2.926257e+00,3.132384e+00,3.250091e+00,1.504103e+01,8.719274e+00,9.615715e+00,1.044776e+01,1.090499e+01,5.354767e-01,2.735790e+01,7.720175e+01,2.144299e+00,-1.216731e+01,5.614160e+00,5.623832e-02
00000024.wav,4.340394e+00,2.593839e+00,2.790182e+00,2.933090e+00,1.482379e+01,8.507452e+00,9.398598e+00,1.031364e+01,1.070131e+01,4.224722e-01,2.234043e+01,7.672090e+01,1.979074e+00,-1.362642e+01,5.669025e+00,5.182571e-02
00000025.wav,3.966225e+00,2.376736e+00,2.598026e+00,3.370267e+00,1.379737e+01,7.826834e+00,8.806316e+00,9.656093e+00,1.064620e+01,1.180302e+00,2.175896e+01,7.491857e+01,2.588645e+00,-1.420768e+01,5.765359e+00,5.006749e-02
00000026.wav,6.034235e+00,3.505159e+00,3.905939e+00,4.386274e+00,1.480081e+01,8.536337e+00,9.371587e+00,1.017496e+01,1.058033e+01,1.128869e+00,3.621241e+01,7.133717e+01,2.644631e+00,-1.065063e+01,5.817923e+00,6.072180e-02
00000027.wav,5.870823e+00,3.427658e+00,3.753155e+00,4.954821e+00,1.363405e+01,7.879271e+00,8.633101e+00,9.199944e+00,9.697313e+00,1.245292e+00,3.664717e+01,7.309942e+01,2.714973e+00,-1.566018e+01,5.208069e+00,4.791969e-02
00000028.wav,3.032762e+00,1.883798e+00,2.198245e+00,2.310617e+00,1.146987e+01,6.636855e+00,7.149590e+00,8.131671e+00,8.457459e+00,3.260519e-01,2.904459e+01,7.630573e+01,1.785643e+00,-2.026214e+01,7.078917e+00,3.657503e-02
00000029.wav,5.243656e+00,3.127703e+00,3.402652e+00,3.651180e+00,1.499447e+01,8.628055e+00,9.611138e+00,1.051151e+01,1.096857e+01,7.512438e-01,3.072020e+01,7.476099e+01,2.407397e+00,-1.057558e+01,5.164028e+00,6.353398e-02
00000030.wav,5.547194e+00,3.313941e+00,3.526416e+00,3.789637e+00,1.492686e+01,8.614622e+00,9.372756e+00,1.025181e+01,1.080201e+01,6.337965e-01,3.488673e+01,7.527508e+01,2.392052e+00,-9.081330e+00,4.936159e+00,7.133945e-02
00000031.wav,5.378498e+00,3.147731e+00,3.473088e+00,3.961939e+00,1.513659e+01,8.830412e+00,9.574130e+00,1.005042e+01,1.066384e+01,2.183087e+00,2.566628e+01,7.404403e+01,2.822983e+00,-1.512106e+01,6.125918e+00,4.706552e-02
00000032.wav,5.570013e+00,3.337265e+00,3.736267e+00,4.196662e+00,1.406254e+01,8.150730e+00,8.963264e+00,9.440432e+00,9.968479e+00,6.224954e-01,3.129723e+01,7.411839e+01,2.439594e+00,-1.391491e+01,5.606481e+00,5.122585e-02
00000033.wav,5.718739e+00,3.387279e+00,3.609448e+00,4.357901e+00,1.548341e+01,8.921852e+00,9.670987e+00,1.034486e+01,1.083815e+01,1.330390e+00,2.726764e+01,7.508399e+01,2.784567e+00,-1.106956e+01,5.127762e+00,6.173859e-02
00000034.wav,5.566214e+00,3.234770e+00,3.532292e+00,4.295736e+00,1.763376e+01,1.011500e+01,1.131427e+01,1.196449e+01,1.264633e+01,2.115509e+00,8.136752e+00,7.517949e+01,3.236070e+00,-1.269270e+01,6.048158e+00,5.335935e-02
00000035.wav,4.777355e+00,2.850396e+00,3.037687e+00,3.216588e+00,1.463402e+01,8.397989e+00,9.320756e+00,9.930147e+00,1.029247e+01,6.311797e-01,2.870071e+01,7.582418e+01,2.486314e+00,-1.145339e+01,5.923855e+00,5.754651e-02
00000036.wav,5.373217e+00,3.189269e+00,3.412041e+00,3.583962e+00,1.498477e+01,8.581707e+00,9.414534e+00,9.900499e+00,1.040303e+01,6.160835e-01,3.120567e+01,7.504836e+01,2.332220e+00,-1.115053e+01,5.860580e+00,5.878512e-02
00000037.wav,5.310466e+00,3.123657e+00,3.447656e+00,4.181515e+00,1.665818e+01,9.633934e+00,1.051304e+01,1.115238e+01,1.179114e+01,1.860720e+00,1.526617e+01,7.505499e+01,3.035532e+00,-1.494504e+01,6.678904e+00,4.624504e-02
00000038.wav,4.636392e+00,2.804159e+00,2.907343e+00,2.891285e+00,1.459125e+01,8.438762e+00,9.281979e+00,9.776836e+00,1.012267e+01,3.915262e-01,2.817891e+01,7.674121e+01,2.018798e+00,-1.073762e+01,5.825701e+00,6.037436e-02
00000039.wav,4.460829e+00,2.653249e+00,2.828781e+00,3.910359e+00,1.356193e+01,7.724339e+00,8.610335e+00,9.258632e+00,1.000991e+01,1.089270e+00,2.633403e+01,7.512128e+01,2.393421e+00,-1.576923e+01,6.021531e+00,4.589101e-02
00000040.wav,4.835805e+00,2.873731e+00,3.198847e+00,3.635547e+00,1.399180e+01,8.073432e+00,8.766712e+00,9.422027e+00,9.963040e+00,7.081186e-01,3.150685e+01,7.541096e+01,2.240800e+00,-1.476140e+01,6.012704e+00,4.813686e-02
00000041.wav,4.982092e+00,2.996280e+00,3.220765e+00,3.205094e+00,1.392742e+01,7.979312e+00,8.788876e+00,9.447847e+00,1.011514e+01,3.681344e-01,3.537371e+01,7.577320e+01,2.139585e+00,-1.050442e+01,5.910183e+00,6.092138e-02
00000042.wav,5.345106e+00,3.229658e+00,3.370411e+00,3.366935e+00,1.475283e+01,8.576479e+00,9.184204e+00,9.969894e+00,1.034454e+01,4.153460e-01,3.643312e+01,7.713376e+01,1.997445e+00,-1.033318e+01,5.385804e+00,6.361735e-02
00000043.wav,4.842976e+00,2.977535e+00,3.129586e+00,3.143900e+00,1.391168e+01,7.950893e+00,8.841247e+00,9.464496e+00,9.922666e+00,3.944172e-01,3.380372e+01,7.735728e+01,2.196411e+00,-1.478624e+01,5.331236e+00,4.970802e-02
00000044.wav,4.986747e+00,3.010470e+00,3.216000e+00,3.234424e+00,1.474774e+01,8.581625e+00,9.399914e+00,1.004804e+01,1.052935e+01,4.017495e-01,3.416827e+01,7.604367e+01,2.083734e+00,-1.041600e+01,5.648138e+00,6.225045e-02
00000045.wav,2.526707e+00,1.549367e+00,1.667879e+00,1.628699e+00,1.384232e+01,7.973626e+00,8.902461e+00,9.604941e+00,1.010273e+01,3.628159e-01,1.410338e+01,7.466496e+01,2.233465e+00,-6.036143e+00,2.678386e+00,1.147509e-01
00000046.wav,3.116854e+00,1.924308e+00,2.260313e+00,2.512677e+00,1.229717e+01,7.138857e+00,7.744169e+00,8.070113e+00,8.586910e+00,2.464136e-01,3.463035e+01,7.341115e+01,1.769415e+00,-5.411837e+00,3.436658e+00,1.130136e-01
00000047.wav,3.065776e+00,1.868366e+00,1.987727e+00,1.927342e+00,1.369889e+01,7.961300e+00,8.614252e+00,9.130194e+00,9.721281e+00,4.112005e-01,1.879410e+01,7.864015e+01,2.170210e+00,-6.152258e+00,2.893410e+00,1.105501e-01
00000048.wav,2.640444e+00,1.609789e+00,1.818399e+00,1.708770e+00,1.107889e+01,6.212535e+00,7.295994e+00,8.076702e+00,8.516388e+00,2.731203e-01,3.007712e+01,7.365039e+01,1.805306e+00,-1.881804e+01,5.149771e+00,4.172262e-02
00000049.wav,4.869578e+00,2.941683e+00,3.136648e+00,3.641491e+00,1.487751e+01,8.620032e+00,9.409728e+00,9.957519e+00,1.060512e+01,9.905332e-01,2.570481e+01,7.739082e+01,2.470303e+00,-1.962477e+01,5.744861e+00,3.941721e-02
00000050.wav,4.300315e+00,2.544432e+00,2.878737e+00,4.521021e+00,1.706153e+01,9.892368e+00,1.074486e+01,1.157518e+01,1.230949e+01,2.561956e+00,7.192918e+00,7.377352e+01,3.409802e+00,-1.907791e+01,5.729875e+00,4.030992e-02
00000051.wav,4.694713e+00,2.762537e+00,3.018854e+00,4.903582e+00,1.812129e+01,1.055210e+01,1.137241e+01,1.213305e+01,1.294176e+01,3.353859e+00,4.907162e+00,7.566313e+01,3.521408e+00,-1.687683e+01,5.034422e+00,4.563865e-02
00000052.wav,5.099016e+00,3.103259e+00,3.438732e+00,5.313955e+00,1.527305e+01,8.777151e+00,9.792136e+00,1.035076e+01,1.094049e+01,1.742452e+00,2.799306e+01,7.455176e+01,2.948618e+00,-1.831549e+01,6.581958e+00,4.016476e-02
00000053.wav,4.425050e+00,2.615411e+00,2.828136e+00,4.389651e+00,1.812414e+01,1.040881e+01,1.145841e+01,1.221760e+01,1.315802e+01,2.866807e+00,4.408818e+00,7.685371e+01,3.439193e+00,-1.890701e+01,5.821609e+00,4.043897e-02
00000054.wav,4.421888e+00,2.615517e+00,2.917829e+00,5.006675e+00,1.660860e+01,9.483311e+00,1.071141e+01,1.127864e+01,1.215265e+01,3.068839e+00,8.795411e+00,7.468451e+01,3.305573e+00,-1.712215e+01,5.705028e+00,4.380743e-02
