filename,Jitter.local,Jitter.RAP,Jitter.PPQ5,Jitter.APQ55,Shimmer.local,Shimmer.APQ3,Shimmer.APQ5,Shimmer.APQ11,Shimmer.APQ55,PVI,PPF,DPF,PPE,Hp.mean.1,Hp.SD.1,RelHp.1
00000000.wav,4.170878e+00,2.534656e+00,2.683896e+00,4.012738e+00,1.888095e+01,1.083490e+01,1.184667e+01,1.397670e+01,2.048406e+01,1.760408e+00,2.143808e+01,7.450067e+01,2.620219e+00,-1.503105e+01,8.017210e+00,4.338722e-02
00000001.wav,3.590818e+00,2.182382e+00,2.324188e+00,3.502908e+00,1.666654e+01,9.440384e+00,1.066591e+01,1.273525e+01,1.933590e+01,1.048628e+00,1.989138e+01,7.311609e+01,2.377621e+00,-1.525839e+01,7.743405e+00,4.347487e-02
00000002.wav,3.312997e+00,2.022444e+00,2.135978e+00,3.159277e+00,1.707452e+01,9.644473e+00,1.072675e+01,1.280190e+01,1.890573e+01,9.088864e-01,1.051771e+01,7.542234e+01,2.264835e+00,-1.209886e+01,9.351945e+00,4.661829e-02
00000003.wav,3.188848e+00,1.911068e+00,2.026579e+00,3.441736e+00,1.587882e+01,8.908327e+00,9.780109e+00,1.195483e+01,1.805073e+01,1.253347e+00,1.464546e+01,7.276342e+01,2.406448e+00,-1.632705e+01,9.461423e+00,3.877701e-02
00000004.wav,3.620157e+00,2.214028e+00,2.330587e+00,3.924658e+00,1.806320e+01,1.010980e+01,1.167271e+01,1.347167e+01,2.003207e+01,2.400037e+00,2.123188e+01,7.144928e+01,2.540770e+00,-1.727027e+01,5.726814e+00,4.348378e-02
00000005.wav,2.768456e+00,1.716154e+00,1.813400e+00,2.403147e+00,1.674754e+01,9.365802e+00,1.070394e+01,1.280202e+01,1.897407e+01,7.159638e-01,1.596505e+01,7.474186e+01,2.059448e+00,-1.779654e+01,5.229550e+00,4.342899e-02
00000006.wav,3.816229e+00,2.296508e+00,2.501265e+00,4.101488e+00,1.763027e+01,1.002407e+01,1.098468e+01,1.333794e+01,2.026370e+01,1.250465e+00,2.046053e+01,7.032895e+01,2.562906e+00,-1.815267e+01,7.786312e+00,3.855201e-02
00000007.wav,3.193280e+00,1.934808e+00,2.038188e+00,3.142360e+00,1.682320e+01,9.465651e+00,1.069009e+01,1.271926e+01,1.896296e+01,1.281369e+00,1.852679e+01,7.336310e+01,2.280060e+00,-1.586624e+01,7.197120e+00,4.335881e-02
00000008.wav,2.943087e+00,1.791900e+00,1.991429e+00,3.775643e+00,1.588791e+01,8.805618e+00,1.022293e+01,1.206358e+01,1.846672e+01,1.388240e+00,1.449764e+01,7.039784e+01,2.269263e+00,-1.669475e+01,9.347336e+00,3.839939e-02
00000009.wav,3.503381e+00,2.105666e+00,2.299863e+00,3.899452e+00,2.009931e+01,1.145571e+01,1.248790e+01,1.449436e+01,2.108310e+01,3.288313e+00,1.529920e+01,7.125231e+01,2.444150e+00,-1.384904e+01,7.707038e+00,4.639064e-02
00000010.wav,4.222106e+00,2.528710e+00,2.653299e+00,4.485183e+00,1.803852e+01,1.031168e+01,1.145469e+01,1.327065e+01,1.896330e+01,2.914955e+00,1.541689e+01,7.451494e+01,2.774787e+00,-1.284034e+01,8.969424e+00,4.585103e-02
00000011.wav,3.101456e+00,1.837109e+00,2.078503e+00,3.592640e+00,1.647885e+01,9.211042e+00,1.043052e+01,1.234497e+01,1.807064e+01,2.207838e+00,1.274924e+01,6.978852e+01,2.558182e+00,-1.733115e+01,9.603606e+00,3.712676e-02
00000012.wav,3.561749e+00,2.139796e+00,2.257352e+00,4.070513e+00,1.706768e+01,9.542909e+00,1.078561e+01,1.294343e+01,2.002942e+01,2.227488e+00,1.694373e+01,6.975703e+01,2.497537e+00,-1.737161e+01,7.569349e+00,4.009469e-02
00000013.wav,3.199614e+00,1.907734e+00,2.059719e+00,3.418897e+00,1.635553e+01,9.217515e+00,1.029330e+01,1.206675e+01,1.883321e+01,2.737468e+00,1.443884e+01,6.960908e+01,2.462994e+00,-1.718052e+01,7.644489e+00,4.028196e-02
00000014.wav,3.334559e+00,1.981673e+00,2.078386e+00,3.953134e+00,1.571406e+01,8.834686e+00,9.972441e+00,1.148885e+01,1.696902e+01,1.636726e+00,1.308068e+01,7.176039e+01,2.613201e+00,-1.765886e+01,9.131758e+00,3.732649e-02
00000015.wav,3.524865e+00,2.136007e+00,2.249862e+00,3.747803e+00,1.829031e+01,1.050247e+01,1.130100e+01,1.323795e+01,1.980127e+01,1.596956e+00,1.503807e+01,7.163706e+01,2.398696e+00,-1.338866e+01,8.287131e+00,4.613441e-02
