filename,Jitter.local,Jitter.RAP,Jitter.PPQ5,Jitter.APQ55,Shimmer.local,Shimmer.APQ3,Shimmer.APQ5,Shimmer.APQ11,Shimmer.APQ55,PVI,PPF,DPF,PPE,Hp.mean.1,Hp.SD.1,RelHp.1
00000000.wav,5.391274e+00,3.198492e+00,3.520725e+00,6.428699e+00,1.903903e+01,1.059832e+01,1.249180e+01,1.436505e+01,1.914342e+01,4.078131e+00,8.358922e+00,7.584442e+01,3.458611e+00,-2.316437e+01,5.900077e+00,3.440630e-02
00000001.wav,7.889995e+00,4.677648e+00,5.081753e+00,7.666902e+00,2.116096e+01,1.171295e+01,1.365921e+01,1.604396e+01,2.031650e+01,4.241825e+00,1.189580e+01,7.557164e+01,4.164926e+00,-2.104135e+01,5.869813e+00,3.715930e-02
00000002.wav,8.152747e+00,4.864218e+00,5.280963e+00,8.153407e+00,2.088357e+01,1.167526e+01,1.356928e+01,1.569171e+01,1.948244e+01,5.824494e+00,1.482219e+01,7.502134e+01,4.301101e+00,-1.978290e+01,5.907179e+00,3.892553e-02
00000003.wav,8.549130e+00,5.083364e+00,5.461631e+00,8.037684e+00,2.279655e+01,1.273529e+01,1.472055e+01,1.706880e+01,2.158838e+01,5.276131e+00,1.845638e+01,7.403905e+01,4.265076e+00,-1.908532e+01,5.866369e+00,4.007744e-02
00000004.wav,5.451330e+00,3.220373e+00,3.529418e+00,6.120350e+00,1.937929e+01,1.070463e+01,1.242404e+01,1.427691e+01,1.872915e+01,3.154204e+00,1.021113e+01,7.523992e+01,3.429943e+00,-2.092707e+01,6.300422e+00,3.672758e-02
00000005.wav,8.088211e+00,4.827180e+00,5.381928e+00,7.586563e+00,2.292056e+01,1.277504e+01,1.474553e+01,1.699532e+01,2.220954e+01,3.663599e+00,9.371933e+00,7.517174e+01,4.219178e+00,-2.295481e+01,5.824192e+00,3.474756e-02
00000006.wav,8.130111e+00,4.863132e+00,5.296284e+00,8.469294e+00,2.115360e+01,1.174740e+01,1.382236e+01,1.607475e+01,1.980357e+01,5.094346e+00,1.310984e+01,7.579722e+01,4.295581e+00,-1.966023e+01,5.522828e+00,3.970923e-02
00000007.wav,7.039004e+00,4.143436e+00,4.531242e+00,6.897200e+00,1.961966e+01,1.085695e+01,1.282413e+01,1.499341e+01,1.968360e+01,4.222152e+00,8.210227e+00,7.525568e+01,3.881762e+00,-2.391425e+01,6.545615e+00,3.283009e-02
00000008.wav,5.374785e+00,3.191853e+00,3.502708e+00,6.119970e+00,1.882776e+01,1.029639e+01,1.226725e+01,1.473742e+01,1.946205e+01,4.037792e+00,6.221937e+00,7.575369e+01,3.533180e+00,-2.296035e+01,6.481457e+00,3.396531e-02
00000009.wav,5.736109e+00,3.394103e+00,3.654416e+00,4.997149e+00,1.922461e+01,1.071097e+01,1.240119e+01,1.472972e+01,1.829218e+01,3.203007e+00,3.658204e+00,7.646738e+01,3.423452e+00,-2.479621e+01,6.954047e+00,3.149580e-02
00000010.wav,8.250574e+00,4.887866e+00,5.467647e+00,8.267184e+00,2.135629e+01,1.193418e+01,1.391610e+01,1.625500e+01,2.045288e+01,5.346192e+00,1.672556e+01,7.320377e+01,4.281266e+00,-1.961165e+01,5.587201e+00,3.968436e-02
00000011.wav,8.026290e+00,4.734264e+00,5.306223e+00,8.401059e+00,2.167216e+01,1.208999e+01,1.411153e+01,1.631308e+01,1.979509e+01,5.305292e+00,1.081933e+01,7.408088e+01,4.425139e+00,-2.235775e+01,6.370019e+00,3.480953e-02
00000012.wav,5.535619e+00,3.280687e+00,3.558433e+00,4.513448e+00,1.852222e+01,1.020749e+01,1.203897e+01,1.409411e+01,1.831973e+01,2.546437e+00,3.041039e+00,7.762031e+01,3.562709e+00,-2.565957e+01,6.175149e+00,3.141225e-02
00000013.wav,8.103373e+00,4.815880e+00,5.416170e+00,9.334093e+00,2.345538e+01,1.294986e+01,1.544840e+01,1.788600e+01,2.227825e+01,5.646699e+00,1.702374e+01,7.168500e+01,4.415093e+00,-2.300682e+01,5.895215e+00,3.459964e-02
00000014.wav,6.581934e+00,3.913057e+00,4.275936e+00,6.529844e+00,2.081404e+01,1.159634e+01,1.337364e+01,1.545149e+01,1.973211e+01,3.384973e+00,4.895666e+00,7.589620e+01,3.909834e+00,-2.198710e+01,6.314582e+00,3.533359e-02
00000015.wav,8.764889e+00,5.252637e+00,5.707802e+00,9.515029e+00,2.209035e+01,1.236433e+01,1.419597e+01,1.659799e+01,2.111503e+01,5.775007e+00,1.944360e+01,7.402480e+01,4.409878e+00,-1.956905e+01,5.955187e+00,3.917846e-02
00000016.wav,5.770711e+00,3.420496e+00,3.645065e+00,4.276791e+00,1.951823e+01,1.095435e+01,1.243319e+01,1.471645e+01,1.931093e+01,2.159554e+00,3.199086e+00,7.829192e+01,3.363019e+00,-2.618568e+01,6.190006e+00,3.088738e-02
00000017.wav,8.624870e+00,5.145496e+00,5.511947e+00,8.318008e+00,2.137389e+01,1.189249e+01,1.379810e+01,1.592700e+01,2.015661e+01,5.218206e+00,1.557093e+01,7.549020e+01,4.303203e+00,-1.939881e+01,5.963294e+00,3.942890e-02
00000018.wav,7.950824e+00,4.689879e+00,5.135944e+00,8.609379e+00,2.098121e+01,1.166386e+01,1.373225e+01,1.630373e+01,2.101788e+01,5.313039e+00,1.327776e+01,7.395058e+01,4.194444e+00,-2.258251e+01,5.854016e+00,3.516604e-02
00000019.wav,7.598640e+00,4.547954e+00,4.893009e+00,6.810834e+00,1.982029e+01,1.116711e+01,1.288904e+01,1.468037e+01,1.813054e+01,3.624697e+00,9.353695e+00,7.662940e+01,3.866019e+00,-1.675255e+01,6.942629e+00,4.220268e-02
00000020.wav,8.312338e+00,4.912268e+00,5.392550e+00,8.407250e+00,2.259167e+01,1.243579e+01,1.469416e+01,1.687519e+01,2.208329e+01,5.800270e+00,1.274591e+01,7.484068e+01,4.386761e+00,-2.234270e+01,6.083540e+00,3.517877e-02
