filename,Jitter.local,Jitter.RAP,Jitter.PPQ5,Jitter.APQ55,Shimmer.local,Shimmer.APQ3,Shimmer.APQ5,Shimmer.APQ11,Shimmer.APQ55,PVI,PPF,DPF,PPE,Hp.mean.1,Hp.SD.1,RelHp.1
00000000.wav,8.683898e+00,5.106668e+00,5.561316e+00,9.169825e+00,3.291960e+01,1.807082e+01,2.431938e+01,3.072282e+01,4.553649e+01,6.680351e+00,2.183639e+01,7.292154e+01,4.102531e+00,-2.315561e+01,5.625522e+00,3.474498e-02
00000001.wav,8.358352e+00,4.939440e+00,5.392531e+00,8.013244e+00,3.513708e+01,1.962229e+01,2.720820e+01,3.460246e+01,4.705389e+01,4.075007e+00,1.857054e+01,7.528090e+01,4.081145e+00,-2.643399e+01,6.208399e+00,3.063501e-02
00000002.wav,8.501605e+00,5.011101e+00,5.376697e+00,9.246703e+00,3.372085e+01,1.872706e+01,2.572027e+01,3.279675e+01,4.504102e+01,4.850557e+00,1.895148e+01,7.398242e+01,4.157772e+00,-2.693226e+01,7.243927e+00,2.926014e-02
00000003.wav,8.635887e+00,5.133445e+00,5.619786e+00,9.109177e+00,3.787415e+01,2.096161e+01,2.878413e+01,3.716820e+01,4.779125e+01,4.508619e+00,1.933292e+01,7.436689e+01,4.145470e+00,-2.715519e+01,6.798960e+00,2.945148e-02
00000004.wav,6.877816e+00,4.108751e+00,4.210818e+00,6.187796e+00,3.142828e+01,1.734328e+01,2.360297e+01,3.136556e+01,4.307917e+01,2.894515e+00,1.249169e+01,7.697674e+01,3.790787e+00,-2.533012e+01,6.164270e+00,3.175169e-02
00000005.wav,8.856575e+00,5.254662e+00,5.741867e+00,7.732729e+00,3.709664e+01,2.074084e+01,2.906250e+01,3.772226e+01,5.004355e+01,4.573082e+00,2.428094e+01,7.441472e+01,3.991578e+00,-2.196607e+01,6.187035e+00,3.552006e-02
00000006.wav,6.757195e+00,3.982004e+00,4.319353e+00,5.627587e+00,3.032592e+01,1.669621e+01,2.333463e+01,3.047614e+01,4.253278e+01,3.724221e+00,1.130973e+01,7.576487e+01,3.645780e+00,-2.761785e+01,5.644607e+00,3.006393e-02
00000007.wav,8.101699e+00,4.758367e+00,5.401706e+00,8.753545e+00,3.521597e+01,1.933936e+01,2.644751e+01,3.449111e+01,4.637300e+01,4.450889e+00,1.437928e+01,7.275975e+01,4.151708e+00,-2.724266e+01,5.900519e+00,3.017212e-02
00000008.wav,4.077249e+00,2.419560e+00,2.667236e+00,6.080778e+00,3.293330e+01,1.832762e+01,2.576443e+01,3.359433e+01,4.536249e+01,2.720254e+00,1.168831e+01,7.575758e+01,3.114659e+00,-2.371528e+01,7.059433e+00,3.249421e-02
00000009.wav,8.341218e+00,4.908250e+00,5.435111e+00,8.545073e+00,3.584552e+01,1.971121e+01,2.716245e+01,3.540615e+01,4.875367e+01,4.440759e+00,1.735719e+01,7.397991e+01,4.138006e+00,-2.387239e+01,5.854779e+00,3.363926e-02
00000010.wav,8.247820e+00,4.826721e+00,5.369030e+00,7.797231e+00,3.447950e+01,1.947319e+01,2.634830e+01,3.421074e+01,4.581863e+01,4.355539e+00,2.161974e+01,7.163712e+01,4.010147e+00,-2.422686e+01,5.077209e+00,3.412496e-02
00000011.wav,8.086473e+00,4.706807e+00,5.162596e+00,8.035865e+00,3.047241e+01,1.676945e+01,2.271808e+01,2.965257e+01,4.038345e+01,5.269401e+00,1.338988e+01,7.406846e+01,4.169820e+00,-2.327380e+01,6.119696e+00,3.402113e-02
00000012.wav,8.909193e+00,5.330468e+00,5.790926e+00,8.276290e+00,3.533448e+01,1.937012e+01,2.605023e+01,3.424791e+01,4.756707e+01,5.000927e+00,2.118644e+01,7.485876e+01,4.152756e+00,-2.410399e+01,5.793989e+00,3.344707e-02
00000013.wav,4.882148e+00,2.902462e+00,3.125304e+00,6.263532e+00,3.063300e+01,1.695506e+01,2.345656e+01,3.130229e+01,4.283740e+01,2.993102e+00,9.050112e+00,7.692595e+01,3.487682e+00,-2.961039e+01,5.989727e+00,2.808980e-02
00000014.wav,6.594414e+00,3.814861e+00,4.257212e+00,7.407349e+00,2.896799e+01,1.650983e+01,2.154704e+01,2.761443e+01,3.671374e+01,3.710798e+00,1.068702e+01,7.278460e+01,3.921292e+00,-2.876493e+01,6.227849e+00,2.857733e-02
00000015.wav,8.880762e+00,5.254579e+00,5.675476e+00,8.697413e+00,3.637888e+01,2.058502e+01,2.761077e+01,3.550198e+01,4.769554e+01,3.888421e+00,2.334758e+01,7.431766e+01,4.111501e+00,-2.576263e+01,5.535662e+00,3.195063e-02
