filename,Jitter.local,Jitter.RAP,Jitter.PPQ5,Jitter.APQ55,Shimmer.local,Shimmer.APQ3,Shimmer.APQ5,Shimmer.APQ11,Shimmer.APQ55,PVI,PPF,DPF,PPE,Hp.mean.1,Hp.SD.1,RelHp.1
00000000.wav,9.534874e+00,5.631786e+00,6.080646e+00,8.969799e+00,3.885285e+01,2.179121e+01,2.804047e+01,3.542688e+01,4.514818e+01,5.635901e+00,2.044917e+01,7.423168e+01,4.319104e+00,-2.380676e+01,5.843335e+00,3.372671e-02
00000001.wav,4.339170e+00,2.647917e+00,2.893987e+00,4.645608e+00,4.241329e+01,2.414618e+01,2.884289e+01,3.689315e+01,5.201299e+01,1.123776e+00,2.658501e+01,7.427954e+01,2.729763e+00,-2.145589e+01,6.687062e+00,3.553287e-02
00000002.wav,9.585656e+00,5.725291e+00,6.112978e+00,9.624727e+00,4.076664e+01,2.288831e+01,2.969790e+01,3.817566e+01,5.113729e+01,6.003585e+00,2.326718e+01,7.541985e+01,4.375291e+00,-2.633021e+01,5.796243e+00,3.112699e-02
00000003.wav,3.875620e+00,2.246198e+00,2.417631e+00,4.634250e+00,3.480116e+01,1.858558e+01,2.617757e+01,3.526880e+01,5.166685e+01,2.478853e+00,1.801862e+01,7.426862e+01,3.089017e+00,-1.630161e+01,6.780069e+00,4.332440e-02
00000004.wav,9.237276e+00,5.366359e+00,6.005046e+00,9.914927e+00,3.996397e+01,2.118753e+01,2.931201e+01,3.895077e+01,5.399030e+01,6.601499e+00,2.978172e+01,7.044025e+01,4.209757e+00,-2.862926e+01,6.054798e+00,2.883169e-02
00000005.wav,8.492601e+00,5.047442e+00,5.328005e+00,6.849687e+00,4.916624e+01,2.774676e+01,3.496317e+01,4.540508e+01,6.520977e+01,2.633201e+00,5.270175e+01,7.333333e+01,3.351012e+00,-2.222669e+01,6.745988e+00,3.451527e-02
00000006.wav,3.729735e+00,2.260237e+00,2.508103e+00,4.465024e+00,4.823059e+01,2.847468e+01,3.229988e+01,4.022873e+01,6.177042e+01,9.310271e-01,2.389843e+01,7.632562e+01,2.401393e+00,-2.567795e+01,7.056910e+00,3.054848e-02
00000007.wav,9.330800e+00,5.569431e+00,5.810660e+00,9.054176e+00,4.148420e+01,2.339243e+01,2.844313e+01,3.704168e+01,5.034592e+01,4.784666e+00,3.003604e+01,7.304766e+01,4.064710e+00,-2.202146e+01,6.111521e+00,3.554547e-02
00000008.wav,4.524149e+00,2.709016e+00,2.827336e+00,5.280849e+00,3.715446e+01,2.057561e+01,2.824824e+01,3.722110e+01,4.958803e+01,2.412039e+00,1.219858e+01,7.683215e+01,3.569718e+00,-2.226027e+01,6.723007e+00,3.450266e-02
00000009.wav,9.302626e+00,5.484155e+00,5.933464e+00,8.903193e+00,3.694303e+01,2.069289e+01,2.678999e+01,3.425786e+01,4.583103e+01,6.282291e+00,1.934487e+01,7.373300e+01,4.396754e+00,-2.387596e+01,6.231910e+00,3.321391e-02
