filename,(rows_with_nan / total_rows),(columns_with_nan / total_columns),(total_nan_cells / total_cells)
w-fan-id_00-abnormal-(-1)-(75-4000).csv,317 / 407,13 / 18,1449 / 7326
w-fan-id_00-normal-(-1)-(75-4000).csv,805 / 1011,13 / 18,3249 / 18198
w-fan-id_02-abnormal-(-1)-(75-4000).csv,359 / 359,13 / 18,4100 / 6462
w-fan-id_02-normal-(-1)-(75-4000).csv,1016 / 1016,13 / 18,13140 / 18288
w-fan-id_04-abnormal-(-1)-(75-4000).csv,320 / 348,13 / 18,2242 / 6264
w-fan-id_04-normal-(-1)-(75-4000).csv,969 / 1033,13 / 18,2849 / 18594
w-fan-id_06-abnormal-(-1)-(75-4000).csv,239 / 361,13 / 18,1537 / 6498
w-fan-id_06-normal-(-1)-(75-4000).csv,0 / 1015,0 / 18,0 / 18270
w-pump-id_00-abnormal-(-1)-(75-4000).csv,114 / 143,13 / 18,393 / 2574
w-pump-id_00-normal-(-1)-(75-4000).csv,812 / 1006,13 / 18,1520 / 18108
w-pump-id_02-abnormal-(-1)-(75-4000).csv,60 / 111,13 / 18,302 / 1998
w-pump-id_02-normal-(-1)-(75-4000).csv,346 / 1005,13 / 18,465 / 18090
w-pump-id_04-abnormal-(-1)-(75-4000).csv,69 / 100,13 / 18,774 / 1800
w-pump-id_04-normal-(-1)-(75-4000).csv,193 / 702,13 / 18,1453 / 12636
w-pump-id_06-abnormal-(-1)-(75-4000).csv,80 / 102,13 / 18,607 / 1836
w-pump-id_06-normal-(-1)-(75-4000).csv,493 / 1036,13 / 18,687 / 18648
w-slider-id_00-abnormal-(-1)-(75-4000).csv,12 / 356,1 / 18,12 / 6408
w-slider-id_00-normal-(-1)-(75-4000).csv,144 / 1068,1 / 18,144 / 19224
w-slider-id_02-abnormal-(-1)-(75-4000).csv,76 / 267,2 / 18,79 / 4806
w-slider-id_02-normal-(-1)-(75-4000).csv,40 / 1068,1 / 18,40 / 19224
w-slider-id_04-abnormal-(-1)-(75-4000).csv,4 / 178,1 / 18,4 / 3204
w-slider-id_04-normal-(-1)-(75-4000).csv,31 / 534,1 / 18,31 / 9612
w-slider-id_06-abnormal-(-1)-(75-4000).csv,52 / 89,2 / 18,53 / 1602
w-slider-id_06-normal-(-1)-(75-4000).csv,225 / 534,6 / 18,233 / 9612
w-valve-id_00-abnormal-(-1)-(75-4000).csv,81 / 119,13 / 18,222 / 2142
w-valve-id_00-normal-(-1)-(75-4000).csv,931 / 991,13 / 18,6574 / 17838
w-valve-id_02-abnormal-(-1)-(75-4000).csv,116 / 120,13 / 18,1183 / 2160
w-valve-id_02-normal-(-1)-(75-4000).csv,672 / 708,13 / 18,4533 / 12744
w-valve-id_04-abnormal-(-1)-(75-4000).csv,95 / 120,13 / 18,329 / 2160
w-valve-id_04-normal-(-1)-(75-4000).csv,714 / 1000,13 / 18,1200 / 18000
w-valve-id_06-abnormal-(-1)-(75-4000).csv,77 / 120,13 / 18,146 / 2160
w-valve-id_06-normal-(-1)-(75-4000).csv,642 / 992,4 / 18,662 / 17856
