filename,(rows_with_nan / total_rows),(columns_with_nan / total_columns),(total_nan_cells / total_cells)
w-fan-id_00-abnormal-(-1).csv,108 / 407,6 / 12,601 / 4884
w-fan-id_00-normal-(-1).csv,3 / 1011,5 / 12,15 / 12132
w-fan-id_02-abnormal-(-1).csv,0 / 359,0 / 12,0 / 4308
w-fan-id_02-normal-(-1).csv,0 / 1016,0 / 12,0 / 12192
w-fan-id_04-abnormal-(-1).csv,0 / 348,0 / 12,0 / 4176
w-fan-id_04-normal-(-1).csv,0 / 1033,0 / 12,0 / 12396
w-fan-id_06-abnormal-(-1).csv,0 / 361,0 / 12,0 / 4332
w-fan-id_06-normal-(-1).csv,0 / 1015,0 / 12,0 / 12180
w-pump-id_00-abnormal-(-1).csv,0 / 143,0 / 12,0 / 1716
w-pump-id_00-normal-(-1).csv,0 / 1006,0 / 12,0 / 12072
w-pump-id_02-abnormal-(-1).csv,0 / 111,0 / 12,0 / 1332
w-pump-id_02-normal-(-1).csv,1 / 1005,5 / 12,5 / 12060
w-pump-id_04-abnormal-(-1).csv,0 / 100,0 / 12,0 / 1200
w-pump-id_04-normal-(-1).csv,0 / 702,0 / 12,0 / 8424
w-pump-id_06-abnormal-(-1).csv,0 / 102,0 / 12,0 / 1224
w-pump-id_06-normal-(-1).csv,0 / 1036,0 / 12,0 / 12432
w-slider-id_00-abnormal-(-1).csv,0 / 356,0 / 12,0 / 4272
w-slider-id_00-normal-(-1).csv,0 / 1068,0 / 12,0 / 12816
w-slider-id_02-abnormal-(-1).csv,0 / 267,0 / 12,0 / 3204
w-slider-id_02-normal-(-1).csv,0 / 1068,0 / 12,0 / 12816
w-slider-id_04-abnormal-(-1).csv,0 / 178,0 / 12,0 / 2136
w-slider-id_04-normal-(-1).csv,0 / 534,0 / 12,0 / 6408
w-slider-id_06-abnormal-(-1).csv,0 / 89,0 / 12,0 / 1068
w-slider-id_06-normal-(-1).csv,0 / 534,0 / 12,0 / 6408
w-valve-id_00-abnormal-(-1).csv,1 / 119,5 / 12,5 / 1428
w-valve-id_00-normal-(-1).csv,3 / 991,5 / 12,15 / 11892
w-valve-id_02-abnormal-(-1).csv,0 / 120,0 / 12,0 / 1440
w-valve-id_02-normal-(-1).csv,0 / 708,0 / 12,0 / 8496
w-valve-id_04-abnormal-(-1).csv,0 / 120,0 / 12,0 / 1440
w-valve-id_04-normal-(-1).csv,0 / 1000,0 / 12,0 / 12000
w-valve-id_06-abnormal-(-1).csv,0 / 120,0 / 12,0 / 1440
w-valve-id_06-normal-(-1).csv,0 / 992,0 / 12,0 / 11904
